,Player,Nation,Born
571,Tetê,br BRA,2000.0
578,Tomané,pt POR,1992.0
585,Ibrahim Traoré,ci CIV,1988.0
588,Andreas Ulmer,at AUT,1985.0
591,Jere Uronen,fi FIN,1994.0
592,Mathieu Valbuena,fr FRA,1984.0
594,Albert Vallci,at AUT,1995.0
612,Aleksa Vukanović,rs SRB,1992.0
629,Erencan Yardimci,tr TUR,2002.0
632,Abdulla Yusuf Helal,bh BHR,1993.0
635,Jaroslav Zelený,cz CZE,1992.0
637,Yuri Zhirkov,ru RUS,1983.0
643,Marko Đira,hr CRO,1999.0
5,Karim Adeyemi,de GER,2002.0
16,Danijel Aleksić,rs SRB,1991.0
19,Hasan Ali Kaldırım,tr TUR,1989.0
25,Mikael Anderson,is ISL,1998.0
26,Joel Andersson,se SWE,1996.0
27,Oleksandr Andriyevskyi,ua UKR,1994.0
31,Antony,br BRA,2000.0
34,Ari,ru RUS,1985.0
35,Bright Arrey-Mbi,de GER,2003.0
41,Demba Ba,sn SEN,1985.0
42,Ousseynou Ba,sn SEN,1995.0
43,Youssouph Badji,sn SEN,2001.0
46,Tudor Băluță,ro ROU,1999.0
48,Romário Baró,pt POR,2000.0
51,Roko Baturina,hr CRO,2000.0
59,Marcus Berg,se SWE,1986.0
60,Mergim Berisha,de GER,1998.0
62,Miha Blažič,si SVN,1993.0
65,Franck Boli,ci CIV,1993.0
66,Boli Bolingoli-Mbombo,be BEL,1995.0
67,Valerii Bondar,ua UKR,1999.0
69,Endre Botka,hu HUN,1994.0
74,Brian Brobbey,nl NED,2002.0
78,Vitaliy Buyalskyi,ua UKR,1993.0
80,Júnior Caiçara,br BRA,1989.0
82,Jens Cajuste,se SWE,1999.0
85,Mohamed Camara,ml MLI,2000.0
99,Yevgeni Chernov,ru RUS,1992.0
104,Eldar Ćivić,ba BIH,1996.0
105,Viktor Claesson,se SWE,1992.0
106,Leighton Clarkson,eng ENG,2001.0
108,Francisco Conceição,pt POR,2002.0
119,Szymon Czyż,pl POL,2001.0
130,Konrad De La Fuente,us USA,2001.0
153,Anders Dreyer,dk DEN,1998.0
156,Lasha Dvali,ge GEO,1995.0
164,Alexandru Epureanu,md MDA,1986.0
169,Evander,br BRA,1998.0
170,Evanilson,br BRA,1999.0
183,Luis Fernando Díaz,co COL,1997.0
189,Kostas Fortounis,gr GRE,1992.0
192,Lassina Franck Traoré,bf BFA,2001.0
195,Abraham Frimpong,gh GHA,1993.0
199,Yuri Gazinskiy,ru RUS,1989.0
206,Eulânio Ângelo Chipela Gomes,gw GNB,1994.0
214,Ryan Gravenberch,nl NED,2002.0
223,Fredrik Gulbrandsen,no NOR,1992.0
230,Denys Harmash,ua UKR,1990.0
236,Marcel Heister,de GER,1992.0
253,Daniel Høegh,dk DEN,1991.0
261,Nikita Iosifov,ru RUS,2001.0
262,Isael,br BRA,1988.0
263,Gustav Isaksen,dk DEN,2001.0
266,Manjrekar James,ca CAN,1993.0
281,İrfan Kahveci,tr TUR,1995.0
282,Felix Kalu Nmecha,eng ENG,2000.0
285,Ruslan Kambolov,ru RUS,1990.0
288,Emre Kaplan,az AZE,2001.0
289,Oleksandr Karavayev,ua UKR,1992.0
292,Tomasz Kędziora,pl POL,1994.0
295,Ihor Kharatin,ua UKR,1995.0
300,Sean Klaiber,nl NED,1994.0
305,Koka,eg EGY,1993.0
309,Viktor Korniienko,ua UKR,1999.0
311,Billy Koumetio,fr FRA,2002.0
313,Adnan Kovačević,ba BIH,1993.0
316,Bozhidar Kraev,bg BUL,1997.0
320,Danil Krugovoy,ru RUS,1998.0
323,Mohammed Kudus,gh GHA,2000.0
329,Aïssa Laïdouni,tn TUN,1996.0
343,Bohdan Liedniev,ua UKR,1998.0
346,Vitaly Lisakovich,by BLR,1998.0
350,Gergő Lovrencsics,hu HUN,1988.0
352,Zé Luís,cv CPV,1991.0
355,Vitali Lystsov,ru RUS,1995.0
357,Awer Mabil,au AUS,1995.0
358,Nicolas Madsen,dk DEN,2000.0
365,Wilson Manafá,pt POR,1994.0
372,João Mário Lopes,pt POR,2000.0
373,Yevgeni Markov,ru RUS,1994.0
381,Toni Martínez,es ESP,1997.0
382,Alyaksandr Martynovich,by BLR,1987.0
415,Andrei Mostovoy,ru RUS,1997.0
418,Maksim Mukhin,ru RUS,2001.0
424,Leon Musayev,ru RUS,1999.0
427,Vitaliy Mykolenko,ua UKR,1999.0
432,Shoya Nakajima,jp JPN,1994.0
434,Loum Ndiaye,sn SEN,1996.0
438,Tokmac Nguen,no NOR,1993.0
446,Noah Okafor,ch SUI,2000.0
451,Kristoffer Olsson,se SWE,1995.0
453,Frank Onyeka,ng NGA,1998.0
460,Cole Palmer,eng ENG,2002.0
462,Kaio Pantaleão,br BRA,1995.0
469,Giuliano de Paula,br BRA,1990.0
470,Paulinho,br BRA,1995.0
475,Carlos de Pena,uy URU,1992.0
481,Sergei Petrov,ru RUS,1991.0
482,Luca Pfeiffer,de GER,1996.0
490,Carlos Ponck,cv CPV,1995.0
491,Denys Popov,ua UKR,1999.0
493,Danila Prokhin,ru RUS,2001.0
503,Slobodan Rajković,rs SRB,1989.0
507,Cristian Ramírez,ec ECU,1994.0
523,Gerson Rodrigues,lu LUX,1995.0
524,Pedro Rodrigues,pt POR,1997.0
535,Dmitrii Rybchinskii,ru RUS,1998.0
538,Leon Sabua,ru RUS,2000.0
547,Zaidu Sanusi,ng NGA,1997.0
552,Alexander Scholz,dk DEN,1992.0
558,Artem Shabanov,ua UKR,1992.0
559,Daniil Shamkin,ru RUS,2002.0
560,Mykola Shaparenko,ua UKR,1998.0
563,Volodymyr Shepelyev,ua UKR,1997.0
564,Dávid Sigér,hu HUN,1990.0
567,Aleksandr Silyanov,ru RUS,2001.0
570,Martin Škrtel,sk SVK,1984.0
577,Yegor Sorokin,ru RUS,1995.0
578,Hillel Soudani,dz ALG,1987.0
579,Eduard Spertsyan,am ARM,2000.0
582,Angelo Stiller,de GER,2001.0
587,Luka Sučić,hr CRO,2002.0
588,Heorhii Sudakov,ua UKR,2002.0
590,Magomed-Shapi Suleymanov,ru RUS,1999.0
591,Vladyslav Supriaha,ua UKR,2000.0
594,Erik Sviatchenko,dk DEN,1991.0
595,Serhiy Sydorchuk,ua UKR,1991.0
602,Mehdi Taremi,ir IRN,1992.0
603,Mahmut Tekdemir,tr TUR,1988.0
609,Jurrien Timber,nl NED,2001.0
612,Mehmet Topal,tr TUR,1986.0
622,Viktor Tsyhankov,ua UKR,1997.0
624,Deniz Turuc,tr TUR,1993.0
628,Mateus Uribe,co COL,1991.0
629,Daniil Utkin,ru RUS,1999.0
630,Myrto Uzuni,al ALB,1995.0
634,Thomas Van den Keybus,be BEL,2001.0
635,Ignace Van Der Brempt,be BEL,2002.0
640,Benjamin Verbič,si SVN,1993.0
642,Lasse Vibe,dk DEN,1987.0
644,Fabio Vieira,pt POR,2000.0
645,Tonny Vilhena,nl NED,1995.0
647,Edin Višća,ba BIH,1990.0
648,Vitão,br BRA,2000.0
650,Bohdan Viunnyk,ua UKR,2002.0
653,Marious Vrousai,gr GRE,1998.0
656,Wanderson,br BRA,1994.0
657,Wendel,br BRA,1997.0
668,Illia Zabarnyi,ua UKR,2002.0
674,Dmitri Zhivoglyadov,ru RUS,1994.0
679,Oleksandr Zubkov,ua UKR,1996.0
1,Araz Abdullayev,az AZE,1992.0
5,Acorán,es ESP,1983.0
6,Rafael Acosta,uy URU,1990.0
8,Samuel Adegbenro,ng NGA,1995.0
10,Adriano,br BRA,1984.0
11,Luiz Adriano,br BRA,1987.0
12,Ansi Agolli,al ALB,1982.0
14,Kristoffer Ajer,no NOR,1998.0
17,Chuba Akpom,eng ENG,1995.0
18,Fatih Aksoy,tr TUR,1997.0
19,Deni Alar,at AUT,1990.0
23,Barış Alıcı,tr TUR,1997.0
25,André Almeida Pinto,pt POR,1989.0
27,Richard Almeida,az AZE,1989.0
33,Francis Amuzu,be BEL,1999.0
34,Jano Ananidze,ge GEO,1992.0
35,Pål André Helland,no NOR,1990.0
37,Komnen Andrić,rs SRB,1995.0
39,José Ángel Crespo,es ESP,1987.0
41,Marin Aničić,ba BIH,1989.0
43,Marcus Antonsson,se SWE,1991.0
44,Aleksandr Anyukov,ru RUS,1982.0
48,João Araújo,br BRA,1988.0
54,Artur,br BRA,1994.0
56,Amin Askar,et ETH,1985.0
57,Eray Ataseven,tr TUR,1993.0
60,Stephan Auer,at AUT,1991.0
63,Onur Ayık,tr TUR,1990.0
69,Fouad Bachirou,km COM,1990.0
71,Dzmitry Baha,by BLR,1990.0
73,Dimo Bakalov,bg BUL,1988.0
76,Marek Bakoš,sk SVK,1983.0
79,Alexandru Băluță,ro ROU,1993.0
81,Umaru Bangura,sl SLE,1987.0
82,Mateo Barać,hr CRO,1994.0
83,Hélder Barbosa,pt POR,1987.0
84,Borna Barišić,hr CRO,1992.0
95,Jean-David Beauguel,fr FRA,1992.0
96,Jakub Bednarczyk,pl POL,1999.0
97,Abzal Beisebekov,kz KAZ,1992.0
104,Nicklas Bendtner,dk DEN,1988.0
105,Pierre Bengtsson,se SWE,1988.0
106,Rasmus Bengtsson,se SWE,1986.0
107,Filip Benković,hr CRO,1997.0
110,Zsombor Berecz,hu HUN,1995.0
111,Yevgeniy Berezkin,by BLR,1996.0
114,Veton Berisha,no NOR,1994.0
116,Artem Besyedin,ua UKR,1996.0
118,Egzon Binaku,al ALB,1995.0
119,Diego Biseswar,sr SUR,1988.0
121,Andreas Bjelland,dk DEN,1988.0
123,Nicolai Boilesen,dk DEN,1992.0
130,Cristian Borja,co COL,1993.0
132,Erik Botheim,no NOR,2000.0
137,Júnior Brandão,br BRA,1995.0
139,Tomáš Břečka,cz CZE,1994.0
141,Franz Brorsson,se SWE,1996.0
142,Scott Brown,sco SCO,1985.0
144,Kévin Bru,mu MRI,1988.0
146,Mario Budimir,hr CRO,1986.0
147,Mykyta Burda,ua UKR,1995.0
152,Jovane Cabral,cv CPV,1998.0
156,Muhammet Çakı,tr TUR,2000.0
163,Gustavo Campanharo,br BRA,1992.0
166,Daniel Candeias,pt POR,1988.0
168,Mahsun Çapkan,tr TUR,1999.0
169,Mustapha Carayol,gm GAM,1988.0
170,Mehdi Carcela,ma MAR,1989.0
171,Nicolas Careca,br BRA,1997.0
172,Igor Carioca,br BRA,1996.0
176,Nacho Cases,es ESP,1987.0
178,David Català,es ESP,1980.0
181,Assan Ceesay,gm GAM,1994.0
184,Aykut Çeviker,tr TUR,1990.0
186,Aatif Chahechouhe,ma MAR,1986.0
187,Vakhtang Chanturishvili,ge GEO,1993.0
189,Volodymyr Chesnakov,ua UKR,1988.0
192,Jan Chramosta,cz CZE,1990.0
194,Anders Christiansen,dk DEN,1990.0
195,Ryan Christie,sco SCO,1995.0
196,Lazaros Christodoulopoulos,gr GRE,1986.0
198,Oleksandr Chyzhov,ua UKR,1986.0
199,Cicinho,bg BUL,1988.0
200,Sadık Çiftpınar,tr TUR,1993.0
201,Gojko Cimirot,ba BIH,1992.0
203,Sebastián Coates,uy URU,1990.0
204,Matúš Čonka,sk SVK,1990.0
215,Clément Couturier,fr FRA,1993.0
216,Christian Cueva,pe PER,1991.0
217,João Pedro Guerra Cunha,pt POR,1986.0
223,Erlend Dahl Reitan,no NOR,1997.0
225,Ardin Dallku,xk KVX,1994.0
226,Filip Dangubić,hr CRO,1995.0
228,Dzon Delarge,cg CGO,1990.0
229,Hannes Delcroix,be BEL,1999.0
232,Đorđe Denić,rs SRB,1996.0
243,Christopher Dibon,at AUT,1990.0
246,Joshgun Diniyev,az AZE,1995.0
247,Fabio Dixon,ch SUI,1999.0
249,Martin Doležal,cz CZE,1990.0
250,Toni Domgjoni,ch SUI,1998.0
252,Graham Dorrans,sco SCO,1987.0
254,Tongo Doumbia,ml MLI,1989.0
256,Stanislaw Drahun,by BLR,1988.0
258,Bojan Dubajić,rs SRB,1990.0
259,Mikkel Duelund,dk DEN,1997.0
261,Svetoslav Dyakov,bg BUL,1984.0
262,Georgi Dzhikiya,ru RUS,1993.0
264,Odsonne Édouard,fr FRA,1998.0
265,Vegar Eggen Hedenstad,no NOR,1991.0
266,Ovie Ejaria,eng ENG,1997.0
270,Innocent Emeghara,ch SUI,1989.0
273,Roman Eremenko,fi FIN,1987.0
274,Caner Erkin,tr TUR,1988.0
279,Collins Fai,cm CMR,1992.0
281,Rasmus Falk,dk DEN,1992.0
282,David Faupala,fr FRA,1997.0
291,Fernando,br BRA,1992.0
293,Giannis Fetfatzidis,gr GRE,1990.0
294,João Pedro Neves Filipe,pt POR,1999.0
295,Egor Filipenko,by BLR,1988.0
296,Aleksandar Filipović,rs SRB,1994.0
297,Attila Fiola,hu HUN,1990.0
298,Ivan Fiolić,hr CRO,1996.0
301,Jon Flanagan,eng ENG,1993.0
303,James Forrest,sco SCO,1991.0
304,Rafael Forster,br BRA,1990.0
306,Michael Frey,ch SUI,1994.0
312,Romain Gall,us USA,1995.0
313,Cristian Gamboa,cr CRC,1989.0
315,Zinho Gano,be BEL,1993.0
317,Gara Garayev,az AZE,1992.0
318,Facundo García,ar ARG,1999.0
325,Pieter Gerkens,be BEL,1995.0
327,Alex Gersbach,au AUS,1997.0
328,Ali Ghorbani,az AZE,1990.0
330,Apostolos Giannou,au AUS,1990.0
331,Charlie Gilmour,sco SCO,1999.0
333,Denis Glushakov,ru RUS,1987.0
335,Boris Godál,sk SVK,1987.0
338,Artem Golubev,ru RUS,1999.0
341,Gökhan Gönül,tr TUR,1985.0
343,Mikel González,es ESP,1985.0
344,Jacek Góralski,pl POL,1992.0
345,Mikhail Gordeichuk,by BLR,1989.0
346,Srđan Grahovac,ba BIH,1992.0
347,Ján Greguš,sk SVK,1991.0
348,Erik Grendel,sk SVK,1988.0
350,Lukáš Greššák,sk SVK,1989.0
351,Eros Grezda,al ALB,1995.0
352,Leigh Griffiths,sco SCO,1990.0
358,Hakim Guenouche,fr FRA,2000.0
360,Wilde-Donald Guerrier,ht HAI,1989.0
365,Yiğithan Güveli,tr TUR,1998.0
367,Jón Guðni Fjóluson,is ISL,1989.0
369,Artem Habelok,ua UKR,1995.0
371,Anel Hadžić,ba BIH,1989.0
376,Andy Halliday,sco SCO,1991.0
378,Szilveszter Hangya,hu HUN,1994.0
379,Sofiane Hanni,dz ALG,1990.0
380,Matěj Hanousek,cz CZE,1993.0
385,Jonny Hayes,ie IRL,1987.0
387,Tobias Heintz,no NOR,1998.0
388,Jack Hendry,sco SCO,1995.0
389,Pedro Henrique,br BRA,1990.0
392,Hector Hevel,nl NED,1996.0
397,Ivan Hladík,sk SVK,1993.0
398,Alexander Hleb,by BLR,1981.0
399,Armin Hodžić,ba BIH,1994.0
400,Maximilian Hofmann,at AUT,1993.0
402,Tomáš Holeš,cz CZE,1993.0
403,Carlo Holse,dk DEN,1999.0
405,Jørgen Horn,no NOR,1987.0
406,Even Hovland,no NOR,1989.0
408,Aniss El Hriti,fr FRA,1989.0
412,Tomáš Hübschman,cz CZE,1981.0
416,Abbas Huseynov,az AZE,1995.0
417,Badavi Huseynov,az AZE,1991.0
418,Szabolcs Huszti,hu HUN,1983.0
420,Gaute Høberg Vetti,no NOR,1998.0
422,Mikhail Ignatov,ru RUS,2000.0
423,Ivan Ignatyev,ru RUS,1999.0
424,Dāvis Ikaunieks,lv LVA,1994.0
425,Tiago Ilori,pt POR,1993.0
429,Arnór Ingvi Traustason,is ISL,1993.0
430,Bonke Innocent,ng NGA,1996.0
433,Thomas Ioannou,cy CYP,1995.0
434,Mauricio Isla,cl CHI,1988.0
437,Andrei Ivan,ro ROU,1997.0
441,Emilio Izaguirre,hn HON,1986.0
442,Léo Jabá,br BRA,1998.0
443,Ryan Jack,sco SCO,1992.0
444,Rangelo Janga,cw CUW,1992.0
445,Oliver Janso,sk SVK,1993.0
447,Issam Jebali,tn TUN,1991.0
450,Leon Jensen,de GER,1997.0
451,Mike Jensen,dk DEN,1988.0
453,Erik Jirka,sk SVK,1997.0
456,Michael Johnston,sco SCO,1999.0
458,Edisson Jordanov,bg BUL,1993.0
462,Vladimir Jovović,me MNE,1994.0
464,Roland Juhász,hu HUN,1983.0
466,Ole Jørgen Halvorsen,no NOR,1987.0
467,Joackim Jørgensen,no NOR,1988.0
468,Junior Kabananga,cd COD,1989.0
469,Charles Kaboré,bf BFA,1988.0
470,Tamás Kádár,hu HUN,1990.0
471,Omar El Kaddouri,ma MAR,1990.0
472,Andrej Kadlec,sk SVK,1996.0
474,Oğuz Kağan Güçtekin,tr TUR,1999.0
479,Ibrahim Kané,ml MLI,2000.0
484,Nikos Karelis,gr GRE,1992.0
485,Nikola Katić,hr CRO,1996.0
486,Edo Kayembe,cd COD,1998.0
489,Kadir Keleş,tr TUR,1988.0
490,Levan Kenia,ge GEO,1990.0
492,Claudiu Keșerü,ro ROU,1986.0
494,Yevhen Khacheridi,ua UKR,1987.0
495,Levan Kharabadze,ge GEO,2000.0
496,Salim Khelifi,tn TUN,1994.0
499,Bilal Kısa,tr TUR,1983.0
501,László Kleinheisler,hu HUN,1994.0
503,Christoph Knasmüllner,at AUT,1992.0
504,Aleksandre Kobakhidze,ge GEO,1987.0
510,Benjamin Kololli,xk KVX,1992.0
511,Yuriy Kolomoyets,ua UKR,1990.0
512,Dmitri Kombarov,ru RUS,1987.0
515,Anders Konradsen,no NOR,1990.0
516,Konstantinou Konstantinou,cy CYP,1999.0
517,Miloš Kosanović,rs SRB,1990.0
520,Eboue Kouassi,ci CIV,1997.0
525,István Kovács,hu HUN,1992.0
529,Alex Král,cz CZE,1998.0
530,Matías Kranevitter,ar ARG,1993.0
531,Bledian Krasniqi,ch SUI,2001.0
532,Miloš Kratochvíl,cz CZE,1996.0
533,Dmytro Kravchenko,ua UKR,1995.0
535,Marc-André Kruska,de GER,1987.0
536,Hekuran Kryeziu,xk KVX,1993.0
537,Mirlind Kryeziu,xk KVX,1997.0
539,Vojtěch Kubista,cz CZE,1993.0
541,Vladyslav Kulach,ua UKR,1993.0
542,Jiří Kulhánek,cz CZE,1996.0
543,Sven Kums,be BEL,1988.0
544,Ilya Kutepov,ru RUS,1993.0
546,William Kvist,dk DEN,1985.0
547,Charalambos Kyriakou,cy CYP,1995.0
549,Kyle Lafferty,nir NIR,1987.0
550,Konstantinos Laifis,cy CYP,1993.0
554,Yann-Erik de Lanlay,no NOR,1992.0
555,Jorge Larena,es ESP,1981.0
556,Cyle Larin,ca CAN,1995.0
557,Kristoffer Larsen,no NOR,1992.0
558,Eric Larsson,se SWE,1991.0
560,James Lawrence,wal WAL,1992.0
564,Christoph Leitgeb,at AUT,1985.0
566,Jeremain Lens,nl NED,1987.0
570,Marko Lešković,hr CRO,1991.0
572,Jonathan Levi,se SWE,1996.0
574,Oscar Lewicki,se SWE,1992.0
579,David Lischka,cz CZE,1997.0
581,Dejan Ljubicic,at AUT,1997.0
584,Yuriy Logvinenko,kz KAZ,1988.0
585,Aleksandr Lomovitskiy,ru RUS,1998.0
586,Miguel Lopes,pt POR,1986.0
588,Vágner Love,br BRA,1984.0
589,Jean Luc Gbayara,ci CIV,1992.0
593,Miguel Luís,pt POR,1999.0
596,Jody Lukoki,cd COD,1992.0
598,Matti Lund Nielsen,dk DEN,1988.0
599,Marius Lundemo,no NOR,1994.0
601,Mikael Lustig,se SWE,1986.0
604,Paul-Jose M'Poku,cd COD,1992.0
605,Mahir Madatov,az AZE,1997.0
606,Ivan Maewski,by BLR,1988.0
607,Anton Maglica,hr CRO,1991.0
608,May Mahlangu,za RSA,1989.0
610,Erik Majetschak,de GER,2000.0
612,Yevhen Makarenko,ua UKR,1991.0
615,Kevin Malget,lu LUX,1991.0
617,Maksym Malyshev,ua UKR,1992.0
618,Pavel Mamayev,ru RUS,1988.0
619,Emanuel Mammana,ar ARG,1996.0
621,Carlos Mané,pt POR,1994.0
622,Elvis Manu,nl NED,1993.0
624,Marcelinho,bg BUL,1984.0
625,Antonio Marchesano,ch SUI,1991.0
629,Saša Marković,rs SRB,1991.0
631,Pedro David Rosendo Marques,pt POR,1998.0
632,Manuel Martic,at AUT,1995.0
639,Jérémy Mathieu,fr FRA,1983.0
640,Léo Matos,br BRA,1986.0
641,Jan Matoušek,cz CZE,1998.0
645,Andreas Maxsø,dk DEN,1994.0
647,Patryk Małecki,pl POL,1988.0
649,Ross McCrorie,sco SCO,1998.0
650,Callum McGregor,sco SCO,1993.0
653,Zechariah Medley,eng ENG,2000.0
654,Maksim Medvedev,az AZE,1989.0
655,Lorenzo Melgarejo,py PAR,1990.0
657,Bryan Mélisse,fr FRA,1989.0
660,Davide Merola,it ITA,2000.0
663,Miha Mevlja,si SVN,1990.0
665,Míchel,es ESP,1985.0
666,Glenn Middleton,sco SCO,2000.0
667,Fabian Miesenböck,at AUT,1993.0
668,Georgi Milanov,bg BUL,1992.0
669,Antonio Milić,hr CRO,1994.0
670,Nemanja Milić,rs SRB,1990.0
677,Roderick Miranda,pt POR,1991.0
680,Pa Modou Jagne,gm GAM,1989.0
681,Dauda Mohammed,gh GHA,1998.0
682,Sadegh Moharrami,ir IRN,1996.0
683,Daniel Mojsov,mk MKD,1987.0
685,Fredy Montero,co COL,1987.0
689,Alfredo Morelos,co COL,1996.0
691,Lewis Morgan,sco SCO,1996.0
692,Ryota Morioka,jp JPN,1991.0
696,Mykola Morozyuk,ua UKR,1988.0
697,Patrick Mortensen,dk DEN,1989.0
701,Cosmin Moți,ro ROU,1984.0
702,Hervaine Moukam,fr FRA,1994.0
703,Rashad Muhammed,fr FRA,1993.0
707,Youssouf Mulumbu,cd COD,1987.0
708,Thomas Murg,at AUT,1994.0
711,Roman Murtazayev,kz KAZ,1993.0
714,Knowledge Musona,zw ZIM,1990.0
716,Serikzhan Muzhikov,kz KAZ,1989.0
721,Dame N'Doye,sn SEN,1985.0
723,Elmir Nabiullin,ru RUS,1995.0
727,Andy Najar,hn HON,1993.0
729,Jefferson Nascimento,br BRA,1988.0
730,Bojan Nastić,ba BIH,1994.0
731,Natanael,br BRA,1990.0
732,Bibras Natkho,il ISR,1988.0
736,Anton Nedyalkov,bg BUL,1993.0
737,Alain Nef,ch SUI,1982.0
738,Loïc Nego,hu HUN,1991.0
739,Luís Neto,pt POR,1988.0
740,Roman Neustädter,ru RUS,1988.0
741,Michael Ngadeu-Ngadjui,cm CMR,1990.0
742,Joel Ngandu,cd COD,1992.0
744,Lasse Nielsen,dk DEN,1988.0
745,Boban Nikolov,mk MKD,1994.0
749,Dany Nounkeu,cm CMR,1986.0
754,Tornike Okriashvili,ge GEO,1992.0
761,Matej Oravec,sk SVK,1998.0
764,Caner Osmanpaşa,tr TUR,1988.0
766,Dylan Ouédraogo,bf BFA,1998.0
767,Obbi Oulare,be BEL,1996.0
772,Filip Ozobić,hr CRO,1991.0
773,Oğuzhan Özyakup,tr TUR,1992.0
779,Victor Pálsson,is ISL,1991.0
780,Dzyanis Palyakow,by BLR,1991.0
781,Sotirios Papagiannopoulos,se SWE,1990.0
783,Fotios Papoulis,cy CYP,1985.0
787,Máté Pátkai,hu HUN,1988.0
792,Andrija Pavlović,rs SRB,1993.0
794,Bruno Paz,pt POR,1998.0
797,Luis Pedro Cavanda,be BEL,1991.0
798,Mustafa Pektemek,tr TUR,1988.0
799,Dimitris Pelkas,gr GRE,1993.0
801,Ihor Perduta,ua UKR,1990.0
802,Facundo Pereyra,ar ARG,1987.0
803,Mauricio Pereyra,uy URU,1990.0
804,Nicolas Perez,fr FRA,1990.0
808,Josué Pesqueira,pt POR,1990.0
811,Radosav Petrović,rs SRB,1989.0
813,Luiz Phellype,br BRA,1993.0
815,Jakub Piotrowski,pl POL,1997.0
816,Josip Pivarić,hr CRO,1989.0
819,Sébastien Pocognoli,be BEL,1987.0
822,Mario Pokar,de GER,1990.0
825,Ivelin Popov,bg BUL,1987.0
826,Yevgeny Postnikov,kz KAZ,1986.0
827,Alper Potuk,tr TUR,1991.0
828,Marvin Potzmann,at AUT,1993.0
832,Jakub Považanec,sk SVK,1991.0
833,Alejandro Pozuelo,es ESP,1991.0
834,Jerry Prempeh,fr FRA,1988.0
836,Smail Prevljak,ba BIH,1995.0
837,Aleksandar Prijović,rs SRB,1990.0
840,Ricardo Quaresma,pt POR,1983.0
841,Dani Quintana,es ESP,1987.0
844,Jakub Rada,cz CZE,1987.0
853,Dimitris Raspas,cy CYP,2001.0
854,Nikolai Rasskazov,ru RUS,1998.0
855,Andrei Ratiu,ro ROU,1998.0
856,Pavlo Rebenok,ua UKR,1985.0
858,Adrien Regattin,ma MAR,1991.0
859,Tore Reginiussen,no NOR,1986.0
864,Yuri Ribeiro,pt POR,1997.0
865,Søren Rieks,dk DEN,1987.0
866,Alexei Rios,by BLR,1987.0
867,Stefan Ristovski,mk MKD,1992.0
869,Valentin Roberge,fr FRA,1987.0
871,Pedro Rocha Neves,br BRA,1994.0
872,Enzo Roco,cl CHI,1992.0
876,Roberto Rodríguez,ch SUI,1990.0
878,Tom Rogić,au AUS,1992.0
883,Markus Rosenberg,se SWE,1982.0
884,Alessandro Rossi,it ITA,1997.0
893,Nazariy Rusyn,ua UKR,1998.0
894,Jakub Rzeźniczak,pl POL,1986.0
895,Orlando Sá,pt POR,1988.0
898,Esteban Sachetti,es ESP,1985.0
899,Rashad Sadygov,az AZE,1982.0
901,Behrang Safari,se SWE,1985.0
902,Kenny Saief,us USA,1993.0
905,Taras Sakiv,ua UKR,1997.0
910,Albert Sambi Lokonga,be BEL,1999.0
911,Aleksandr Samedov,ru RUS,1984.0
914,Bubacarr Sanneh,gm GAM,1994.0
918,Vadym Sapay,ua UKR,1986.0
921,Adrián Sardinero,es ESP,1990.0
924,Lucas Sasha,br BRA,1990.0
925,Stefan Šćepović,rs SRB,1990.0
926,André Schembri,mt MLT,1986.0
928,Tom Schnell,lu LUX,1985.0
929,Philipp Schobesberger,at AUT,1993.0
930,Marco Schönbächler,ch SUI,1990.0
931,Sam Schreck,de GER,1999.0
933,Stefan Schwab,at AUT,1990.0
934,Erdem Seçgin,tr TUR,2000.0
935,Ibrahima Seck,sn SEN,1989.0
937,Yevhen Seleznyov,ua UKR,1985.0
938,Besim Šerbečić,ba BIH,1998.0
939,Serginho,br BRA,1986.0
940,Mykhaylo Serhiychuk,ua UKR,1991.0
946,Vyacheslav Sharpar,ua UKR,1987.0
949,Roman Shishkin,ru RUS,1987.0
950,Dmitriy Shomko,kz KAZ,1990.0
951,Sidcley,br BRA,1993.0
954,Mikalay Signevich,by BLR,1992.0
958,Slobodan Simović,rs SRB,1989.0
959,Jozo Šimunović,hr CRO,1994.0
960,Danel Sinani,lu LUX,1997.0
961,Scott Sinclair,eng ENG,1989.0
962,Harmeet Singh,no NOR,1990.0
963,Jailson Siqueira,br BRA,1995.0
964,Abdoul Sissoko,fr FRA,1990.0
966,Maksim Skavysh,by BLR,1989.0
967,Davit Skhirtladze,ge GEO,1993.0
968,Oleksandr Sklyar,ua UKR,1991.0
973,Simeon Slavchev,bg BUL,1993.0
977,Yevhenii Smyrnyi,ua UKR,1998.0
982,Fran Sol,es ESP,1992.0
985,Mario Sonnleitner,at AUT,1986.0
986,Pieros Sotiriou,cy CYP,1993.0
988,Richard Soumah,gn GUI,1986.0
989,Uroš Spajić,rs SRB,1993.0
990,Danilo Spoljaric,cy CYP,1999.0
991,Adrian Stanilewicz,pl POL,2000.0
992,Ihar Stasevich,by BLR,1985.0
993,Stélvio,ao ANG,1989.0
996,Miroslav Stoch,sk SVK,1989.0
998,Dominik Stolz,de GER,1990.0
999,Stopira,cv CPV,1988.0
1000,Dmitry Stotsky,ru RUS,1989.0
1001,Jørgen Strand Larsen,no NOR,2000.0
1002,Carlos Strandberg,se SWE,1996.0
1004,Patrick Stumpf,de GER,1988.0
1005,Marios Stylianou,cy CYP,1993.0
