,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
53,Paco Alcácer\Paco-Alcacer,es ESP,FW,Valencia,es La Liga,22,1993,1,90,90,2.6,1.0,1,,1,0,,0,0.00,2,4,-2,-2.00,-1.81,Matches
54,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,25,1991,27,2288,85,74.8,25.4,26,,22,1,,3,2.52,68,15,+53,+2.08,+0.45,Matches
55,Gabriele Aldegani\Gabriele-Aldegani,it ITA,GK,Pescara,it Serie A,40,1976,0,,,,,0,,0,0,,9,,,,,,,Matches
56,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,27,1989,30,2601,87,76.1,28.9,30,,27,0,,0,2.37,67,17,+50,+1.73,+0.63,Matches
57,Haitam Aleesami\Haitam-Aleesami,no NOR,MFDF,Palermo,it Serie A,25,1991,31,2630,85,76.9,29.2,29,,28,2,,6,0.74,26,54,-28,-0.96,+0.86,Matches
58,Álex Alegría\Alex-Alegria,es ESP,FW,Betis,es La Liga,23,1992,25,1440,58,42.1,16.0,15,,8,10,,7,1.00,14,26,-12,-0.75,-0.25,Matches
59,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,19,1996,2,18,9,0.5,0.2,0,,0,2,,5,0.00,0,0,0,0.00,+0.37,Matches
60,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,18,1998,3,45,15,1.3,0.5,0,,0,3,,12,3.00,4,0,+4,+8.00,+6.00,Matches
61,Romain Alessandrini\Romain-Alessandrini,fr FRA,FWMF,Marseille,fr Ligue 1,27,1989,6,241,40,7.0,2.7,3,,1,3,,1,0.83,2,7,-5,-1.87,-2.46,Matches
62,Alexander\Alexander,ar ARG,MF,Leganés,es La Liga,27,1988,28,2022,72,59.1,22.5,24,,11,4,,1,0.93,23,32,-9,-0.40,+0.24,Matches
63,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,Liverpool,eng Premier League,17,1998,7,167,24,4.9,1.9,2,,1,5,,16,2.29,1,2,-1,-0.54,-1.56,Matches
64,Alexis\Alexis,es ESP,DF,Alavés,es La Liga,30,1985,24,1821,76,53.2,20.2,19,,18,5,,5,1.42,25,29,-4,-0.20,-0.31,Matches
65,Chaker Alhadhur\Chaker-Alhadhur,km COM,DFMF,Caen,fr Ligue 1,24,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
66,Jérémie Aliadière\Jeremie-Aliadiere,fr FRA,FW,Lorient,fr Ligue 1,33,1983,13,487,37,14.2,5.4,6,,0,7,,3,1.00,6,9,-3,-0.55,+0.15,Matches
67,Alisson\Alisson,br BRA,GK,Roma,it Serie A,23,1992,0,,,,,0,,0,0,,38,,,,,,,Matches
68,Sami Allagui\Sami-Allagui,tn TUN,FWMF,Hertha BSC,de Bundesliga,30,1986,12,181,15,5.9,2.0,0,,0,12,,17,0.83,4,5,-1,-0.50,-0.40,Matches
69,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,24,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
70,Allan\Allan,br BRA,MF,Hertha BSC,de Bundesliga,19,1997,15,798,53,26.1,8.9,8,,7,7,,13,1.47,6,15,-9,-1.02,-1.21,Matches
71,Allan\Allan,br BRA,MF,Napoli,it Serie A,25,1991,29,1610,56,47.1,17.9,19,,7,10,,6,2.24,35,23,+12,+0.67,-1.47,Matches
72,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,eng Premier League,26,1990,36,2930,81,85.7,32.6,34,,26,2,,0,1.06,32,49,-17,-0.52,-0.89,Matches
73,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,20,1996,37,3034,82,88.7,33.7,35,,22,2,,0,2.30,79,22,+57,+1.69,+0.99,Matches
74,Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1,90,90,2.6,1.0,1,,1,0,,17,1.00,1,1,0,0.00,+0.32,Matches
75,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,fr Ligue 1,23,1993,12,959,80,28.0,10.7,10,,10,2,,4,1.58,15,13,+2,+0.19,+0.52,Matches
76,Marcos Alonso\Marcos-Alonso,es ESP,MF,Chelsea,eng Premier League,25,1990,31,2693,87,78.7,29.9,30,,28,1,,3,2.58,71,19,+52,+1.74,+1.74,Matches
77,Marcos Alonso\Marcos-Alonso,es ESP,MF,Fiorentina,it Serie A,25,1990,2,180,90,5.3,2.0,2,,2,0,,0,1.50,2,2,0,0.00,-0.17,Matches
78,Xabi Alonso\Xabi-Alonso,es ESP,MF,Bayern Munich,de Bundesliga,34,1981,27,1903,70,62.2,21.1,22,,14,5,,2,2.26,41,16,+25,+1.18,-2.08,Matches
79,Giorgio Altare\Giorgio-Altare,it ITA,DF,Milan,it Serie A,17,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
80,Halil Altıntop\Halil-Altintop,tr TUR,MF,Augsburg,de Bundesliga,33,1982,31,1605,52,52.5,17.8,17,,7,14,,3,1.10,20,25,-5,-0.28,+0.40,Matches
81,Hamit Altıntop\Hamit-Altintop,tr TUR,MF,Darmstadt 98,de Bundesliga,33,1982,16,1362,85,44.5,15.1,15,,15,1,,0,1.00,16,26,-10,-0.66,+0.66,Matches
82,Ricky Álvarez\Ricky-Alvarez,ar ARG,MF,Sampdoria,it Serie A,28,1988,21,987,47,28.9,11.0,11,,4,10,,12,1.29,13,19,-6,-0.55,-0.55,Matches
83,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26,2340,90,68.4,26.0,26,,26,0,,9,1.00,33,52,-19,-0.73,-0.98,Matches
84,Sergio Álvarez\Sergio-Alvarez,es ESP,MF,Sporting Gijón,es La Liga,24,1992,36,3002,83,87.8,33.4,34,,28,2,,1,0.83,36,59,-23,-0.69,+0.82,Matches
