,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
85,Víctor Álvarez\Victor-Alvarez,es ESP,DF,Espanyol,es La Liga,23,1993,4,206,52,6.0,2.3,2,,2,2,,11,2.25,2,3,-1,-0.44,-0.44,Matches
86,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,21,1995,26,2273,87,66.5,25.3,25,,25,1,,3,1.81,39,29,+10,+0.40,+0.40,Matches
87,Bruno Alves\Bruno-Alves,pt POR,DF,Cagliari,it Serie A,34,1981,36,3240,90,94.7,36.0,36,,35,0,,0,1.14,49,74,-25,-0.69,-2.69,Matches
88,Dani Alves\Dani-Alves,br BRA,DFMF,Juventus,it Serie A,33,1983,19,1359,72,39.7,15.1,15,,11,4,,11,2.32,30,11,+19,+1.26,-0.10,Matches
89,Diego Alves\Diego-Alves,br BRA,GK,Valencia,es La Liga,31,1985,33,2970,90,86.8,33.0,33,,33,0,,3,1.21,48,56,-8,-0.24,-0.04,Matches
90,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Lille,fr Ligue 1,23,1993,35,2952,84,86.3,32.8,34,,30,1,,3,1.31,37,38,-1,-0.03,+1.12,Matches
91,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,31,1985,6,401,67,11.7,4.5,6,,3,0,,0,0.83,3,3,0,0.00,+0.18,Matches
92,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MFFW,Lille,fr Ligue 1,31,1985,17,733,43,21.4,8.1,8,,4,9,,3,1.12,4,9,-5,-0.61,-0.55,Matches
93,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,26,1989,26,1418,55,41.5,15.8,15,,7,11,,7,0.85,16,24,-8,-0.51,-0.33,Matches
94,Daniel Amartey\Daniel-Amartey,gh GHA,MF,Leicester City,eng Premier League,21,1994,24,1673,70,48.9,18.6,17,,17,7,,10,1.08,21,35,-14,-0.75,-0.70,Matches
95,Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,eng Premier League,24,1992,17,1409,83,41.2,15.7,15,,15,2,,14,0.82,19,36,-17,-1.09,-0.73,Matches
96,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,18,1998,22,1776,81,51.9,19.7,20,,18,2,,12,0.95,14,21,-7,-0.35,-0.52,Matches
97,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,19,1996,33,1989,60,65.0,22.1,20,,7,13,,1,1.85,38,20,+18,+0.81,+0.06,Matches
98,Fernando Amorebieta\Fernando-Amorebieta,ve VEN,DF,Sporting Gijón,es La Liga,31,1985,27,2216,82,64.8,24.6,26,,22,1,,4,0.74,27,53,-26,-1.06,-0.76,Matches
99,Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,eng Premier League,29,1987,29,2091,72,61.1,23.2,25,,11,4,,0,0.97,23,51,-28,-1.21,-1.21,Matches
100,Stanley Amuzie\Stanley-Amuzie,ng NGA,DF,Sampdoria,it Serie A,20,1996,0,,,,,0,,0,0,,7,,,,,,,Matches
101,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,26,1989,13,1108,85,32.4,12.3,13,,12,0,,0,1.00,11,22,-11,-0.89,-0.58,Matches
102,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,Lazio,it Serie A,23,1993,36,2908,81,85.0,32.3,33,,20,3,,0,1.78,61,43,+18,+0.56,-0.32,Matches
103,Keshi Anderson\Keshi-Anderson,eng ENG,FWMF,Crystal Palace,eng Premier League,21,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
104,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,es La Liga,23,1993,37,2908,79,85.0,32.3,32,,20,5,,0,0.89,38,49,-11,-0.34,+0.89,Matches
105,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,25,1990,36,3215,89,94.0,35.7,36,,32,0,,0,1.36,34,37,-3,-0.08,+1.23,Matches
106,Marco Andreolli\Marco-Andreolli,it ITA,DF,Inter,it Serie A,30,1986,6,362,60,10.6,4.0,4,,3,2,,21,1.50,9,6,+3,+0.75,+0.16,Matches
107,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,27,1989,16,1367,85,40.0,15.2,16,,15,0,,0,1.19,14,17,-3,-0.20,+0.07,Matches
108,Victorien Angban\Victorien-Angban,ci CIV,MF,Granada,es La Liga,19,1996,10,678,68,19.8,7.5,8,,3,2,,12,0.20,5,21,-16,-2.12,-0.94,Matches
109,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,26,1990,31,2164,70,63.3,24.0,25,,12,6,,4,0.94,21,28,-7,-0.29,+0.57,Matches
110,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Atlético Madrid,es La Liga,32,1984,9,771,86,22.5,8.6,8,,8,1,,14,2.22,15,6,+9,+1.05,-0.10,Matches
111,José Ángel\Jose-Angel,es ESP,DF,Villarreal,es La Liga,26,1989,7,630,90,18.4,7.0,7,,7,0,,14,1.86,8,3,+5,+0.71,+0.13,Matches
112,Gabriele Angella\Gabriele-Angella,it ITA,DFMF,Udinese,it Serie A,27,1989,14,1017,73,29.7,11.3,10,,10,4,,22,1.93,24,20,+4,+0.35,+0.84,Matches
113,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Guingamp,fr Ligue 1,29,1986,7,538,77,15.7,6.0,6,,5,1,,11,0.86,6,9,-3,-0.50,-0.38,Matches
114,Victor Anichebe\Victor-Anichebe,ng NGA,FWMF,Sunderland,eng Premier League,28,1988,18,1219,68,35.6,13.5,14,,12,4,,2,0.89,13,21,-8,-0.59,+0.72,Matches
115,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Inter,it Serie A,29,1986,21,1500,71,43.9,16.7,17,,9,4,,5,1.67,31,23,+8,+0.48,-0.22,Matches
116,Luca Antei\Luca-Antei,it ITA,DF,Sassuolo,it Serie A,24,1992,15,1114,74,32.6,12.4,11,,11,4,,15,1.20,24,21,+3,+0.24,+0.55,Matches
117,Luca Antonelli\Luca-Antonelli,it ITA,DF,Milan,it Serie A,29,1987,7,309,44,9.0,3.4,3,,1,4,,11,2.00,4,2,+2,+0.58,+0.29,Matches
118,Matias Antonini Lui\Matias-Antonini-Lui,br BRA,MF,Cagliari,it Serie A,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches
119,José Antonio Reyes\Jose-Antonio-Reyes,es ESP,MFFW,Espanyol,es La Liga,32,1983,21,867,41,25.4,9.6,10,,1,11,,9,1.52,14,10,+4,+0.42,+0.59,Matches
120,Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,eng Premier League,26,1990,29,2434,84,71.2,27.0,29,,22,0,,0,1.24,35,43,-8,-0.30,+0.53,Matches
121,Ikechi Anya\Ikechi-Anya,sco SCO,FWMF,Watford,eng Premier League,28,1988,1,10,10,0.3,0.1,0,,0,1,,1,1.00,0,0,0,0.00,+0.74,Matches
122,Siniša Anđelković\Sinisa-Andjelkovic,si SVN,DF,Palermo,it Serie A,30,1986,22,1836,83,53.7,20.4,21,,15,1,,11,0.91,19,40,-21,-1.03,+0.28,Matches
123,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Schalke 04,de Bundesliga,29,1987,7,290,41,9.5,3.2,3,,1,4,,5,1.86,2,3,-1,-0.31,-0.51,Matches
124,Houssem Aouar\Houssem-Aouar,fr FRA,FW,Lyon,fr Ligue 1,18,1998,3,127,42,3.7,1.4,1,,1,2,,4,1.33,1,2,-1,-0.71,-1.53,Matches
125,Carlos Apna Embaló\Carlos-Apna-Embalo,gw GNB,FWMF,Palermo,it Serie A,21,1994,12,621,52,18.2,6.9,8,,3,4,,12,0.42,6,13,-7,-1.01,+0.18,Matches
126,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Sassuolo,it Serie A,32,1984,16,1237,77,36.2,13.7,14,,11,2,,4,1.69,23,17,+6,+0.44,+0.89,Matches
127,Alberto Aquilani\Alberto-Aquilani,it ITA,MFFW,Pescara,it Serie A,32,1984,9,551,61,16.1,6.1,6,,4,3,,4,0.33,3,12,-9,-1.47,-0.37,Matches
128,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Bordeaux,fr Ligue 1,20,1995,4,40,10,1.2,0.4,0,,0,4,,14,2.25,2,2,0,0.00,-0.27,Matches
129,Mattia Aramu\Mattia-Aramu,it ITA,FW,Torino,it Serie A,21,1995,1,45,45,1.3,0.5,1,,0,0,,5,1.00,0,0,0,0.00,-0.13,Matches
130,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,27,1989,26,1815,70,59.3,20.2,22,,11,4,,4,1.15,27,38,-11,-0.55,-1.20,Matches
131,Sergio Araujo\Sergio-Araujo,ar ARG,FW,Las Palmas,es La Liga,24,1992,11,536,49,15.7,6.0,5,,3,6,,1,1.36,8,13,-5,-0.84,-0.34,Matches
132,Vinícius Araújo\Vinicius-Araujo,br BRA,FW,Valencia,es La Liga,23,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
133,Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,West Ham,eng Premier League,33,1983,3,258,86,7.5,2.9,1,,1,2,,0,0.33,2,9,-7,-2.44,-2.16,Matches
134,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,29,1987,22,1574,72,46.0,17.5,17,,13,5,,3,1.50,32,20,+12,+0.69,+1.03,Matches
135,Roberto Olabe del Arco\Roberto-Olabe-del-Arco,es ESP,MF,Atlético Madrid,es La Liga,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
136,Carlens Arcus\Carlens-Arcus,ht HAI,DF,Lille,fr Ligue 1,20,1996,0,,,,,0,,0,0,,5,,,,,,,Matches
137,Markel Areitio\Markel-Areitio,es ESP,GK,Eibar,es La Liga,19,1996,1,47,47,1.4,0.5,0,,0,1,,10,1.00,1,0,+1,+1.91,+1.81,Matches
138,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,23,1993,15,1297,86,37.9,14.4,14,,14,1,,20,2.00,27,14,+13,+0.90,-0.92,Matches
