Player,Nation,Pos,Squad,Comp,Born,goals_allowed,penalties_alllowed,free_kicks_allowed,corners_allowed,own_goals,PSxG,PSxG_per_SoT,PSxG_difference,long_passes_cmp,long_passes_attempted,long_pass_completion,passes_attempted,throws_attempted,launch_percentage,avg_pass_length,goal_kicks_attempted,goal_kicks_long_percentage,goal_kick_len,crosses_attempted,crosses_stopped,stop_percentage,defensive_actions,AvgDist,Season
Dani Giménez,es ESP,GK,Betis,es La Liga,1983,0,0,0.0,0.0,0.0,2.2,0.31,2.2,10.0,38.0,26.3,82.0,8.0,41.5,39.1,9.0,44.4,40.0,39.0,1.0,2.6,0.0,10.6,2018
Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,1995,4,0,0.0,1.0,0.0,5.3,0.31,1.3,33.0,58.0,56.9,145.0,26.0,26.9,32.5,40.0,47.5,45.5,51.0,2.0,3.9,5.0,17.4,2018
Heurelho Gomes,br BRA,GK,Watford,eng Premier League,1981,40,3,1.0,4.0,1.0,34.3,0.33,-4.7,156.0,393.0,39.7,474.0,89.0,62.4,47.4,108.0,89.8,67.5,253.0,27.0,10.7,14.0,15.2,2018
Alfred Gomis,sn SEN,GK,SPAL,it Serie A,1993,43,6,1.0,5.0,2.0,43.5,0.29,2.5,173.0,489.0,35.4,557.0,101.0,61.9,47.8,206.0,69.9,53.4,257.0,14.0,5.4,12.0,12.9,2018
Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,1990,6,0,1.0,0.0,0.0,3.5,0.29,-2.5,4.0,24.0,16.7,54.0,6.0,35.2,38.4,9.0,55.6,50.3,44.0,6.0,13.6,2.0,14.4,2018
Lee Grant,eng ENG,GK,Stoke City,eng Premier League,1983,7,0,0.0,1.0,0.0,4.5,0.32,-2.5,23.0,49.0,46.9,59.0,11.0,64.4,49.0,12.0,91.7,69.4,23.0,2.0,8.7,3.0,19.7,2018
Vicente Guaita,es ESP,GK,Getafe,es La Liga,1987,26,1,0.0,3.0,0.0,28.8,0.25,2.8,211.0,685.0,30.8,604.0,60.0,76.0,55.2,227.0,99.6,69.6,314.0,45.0,14.3,19.0,14.7,2018
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,1990,52,5,0.0,9.0,0.0,50.7,0.33,-1.3,226.0,550.0,41.1,870.0,141.0,46.3,39.9,196.0,75.0,55.2,278.0,24.0,8.6,32.0,17.2,2018
Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,1986,41,4,0.0,2.0,0.0,50.7,0.28,9.7,246.0,725.0,33.9,739.0,71.0,62.5,47.2,269.0,97.8,65.6,475.0,36.0,7.6,21.0,14.9,2018
Ben Hamer,eng ENG,GK,Leicester City,eng Premier League,1987,7,1,0.0,0.0,0.0,4.7,0.3,-2.3,14.0,35.0,40.0,56.0,13.0,46.4,42.3,10.0,90.0,64.7,28.0,1.0,3.6,0.0,15.2,2018
Samir Handanović,si SVN,GK,Inter,it Serie A,1984,30,2,1.0,2.0,4.0,33.2,0.26,7.2,167.0,321.0,52.0,781.0,234.0,24.7,28.5,268.0,47.8,39.1,369.0,21.0,5.7,10.0,12.9,2018
Joe Hart,eng ENG,GK,West Ham,eng Premier League,1987,39,4,0.0,3.0,0.0,35.5,0.37,-3.5,148.0,386.0,38.3,386.0,38.0,73.8,54.3,103.0,98.1,73.2,198.0,17.0,8.6,8.0,14.3,2018
Tom Heaton,eng ENG,GK,Burnley,eng Premier League,1986,4,0,0.0,2.0,0.0,4.3,0.33,0.3,23.0,63.0,36.5,70.0,18.0,65.7,53.8,22.0,77.3,65.3,30.0,2.0,6.7,0.0,11.2,2018
Wayne Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,1987,41,1,1.0,7.0,2.0,39.3,0.31,0.3,193.0,508.0,38.0,482.0,75.0,71.2,54.1,173.0,95.4,75.2,308.0,25.0,8.1,14.0,13.9,2018
Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,1988,6,2,0.0,0.0,0.0,8.2,0.22,2.2,82.0,173.0,47.4,199.0,21.0,69.8,48.8,36.0,94.4,65.9,86.0,6.0,7.0,5.0,14.6,2018
Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,1987,42,1,2.0,10.0,1.0,42.8,0.26,1.8,272.0,576.0,47.2,860.0,136.0,49.5,41.2,246.0,61.0,48.5,246.0,18.0,7.3,23.0,14.4,2018
Timo Horn,de GER,GK,Köln,de Bundesliga,1993,70,8,0.0,7.0,0.0,71.7,0.33,1.7,293.0,755.0,38.8,774.0,82.0,66.3,48.9,279.0,86.7,61.7,370.0,28.0,7.6,33.0,15.7,2018
Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,1989,45,2,2.0,8.0,2.0,41.0,0.3,-2.0,282.0,704.0,40.1,1060.0,164.0,50.8,41.5,216.0,76.9,58.9,301.0,24.0,8.0,35.0,15.2,2018
Gorka Iraizoz,es ESP,GK,Girona,es La Liga,1981,13,0,1.0,0.0,2.0,9.6,0.27,-1.4,56.0,135.0,41.5,156.0,35.0,66.0,46.5,33.0,97.0,65.1,61.0,9.0,14.8,10.0,17.0,2018
Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,1984,6,0,0.0,0.0,1.0,5.0,0.43,0.0,10.0,26.0,38.5,33.0,7.0,60.6,53.6,7.0,85.7,66.4,19.0,1.0,5.3,4.0,15.6,2018
Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,1984,44,5,0.0,8.0,1.0,36.7,0.25,-6.3,297.0,772.0,38.5,860.0,90.0,65.6,47.1,233.0,89.3,63.0,292.0,20.0,6.8,14.0,13.2,2018
Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,1990,59,5,0.0,7.0,1.0,54.8,0.29,-3.2,195.0,558.0,34.9,719.0,110.0,52.2,43.6,209.0,87.6,65.5,394.0,39.0,9.9,16.0,15.3,2018
Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,1996,32,2,0.0,6.0,0.0,24.9,0.26,-7.1,102.0,255.0,40.0,362.0,42.0,46.1,40.1,101.0,87.1,61.4,212.0,21.0,9.9,6.0,11.6,2018
Loris Karius,de GER,GK,Liverpool,eng Premier League,1993,14,2,0.0,3.0,0.0,15.2,0.31,1.2,63.0,205.0,30.7,480.0,87.0,35.2,35.4,53.0,67.9,53.4,161.0,15.0,9.3,12.0,15.9,2018
Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,1985,24,3,0.0,2.0,0.0,21.4,0.37,-2.6,93.0,261.0,35.6,267.0,21.0,80.9,55.1,47.0,95.7,64.1,139.0,11.0,7.9,5.0,14.0,2018
Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,1983,60,0,1.0,10.0,1.0,54.5,0.32,-4.5,151.0,449.0,33.6,522.0,98.0,57.5,45.2,158.0,94.3,67.3,274.0,19.0,6.9,24.0,15.6,2018
Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,1996,11,1,0.0,2.0,1.0,8.0,0.39,-2.0,13.0,45.0,28.9,79.0,10.0,43.0,40.3,14.0,78.6,63.9,49.0,5.0,10.2,5.0,14.7,2018
Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,1992,36,2,0.0,6.0,2.0,39.6,0.28,5.6,158.0,475.0,33.3,573.0,81.0,57.1,46.1,167.0,88.6,65.1,347.0,36.0,10.4,33.0,16.9,2018
Maksym Koval,ua UKR,GKMF,La Coruña,es La Liga,1992,3,0,0.0,0.0,0.0,1.5,0.29,-1.5,6.0,17.0,35.3,27.0,9.0,40.7,37.2,7.0,85.7,67.9,16.0,1.0,6.3,3.0,22.0,2018
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,1988,2,1,0.0,0.0,0.0,3.8,0.24,1.8,27.0,81.0,33.3,108.0,6.0,61.1,43.7,28.0,53.6,46.3,25.0,0.0,0.0,3.0,16.0,2018
Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,1999,54,6,3.0,9.0,0.0,52.9,0.31,-1.1,239.0,615.0,38.9,793.0,115.0,55.0,44.3,206.0,86.9,61.5,448.0,41.0,9.2,44.0,17.1,2018
Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,1989,1,0,0.0,0.0,0.0,1.6,0.54,0.6,7.0,16.0,43.8,16.0,1.0,56.3,47.3,9.0,77.8,55.3,11.0,0.0,0.0,0.0,13.5,2018
Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,1991,33,5,1.0,4.0,0.0,38.0,0.28,5.0,217.0,510.0,42.5,761.0,178.0,52.0,41.4,161.0,70.8,51.8,336.0,46.0,13.7,18.0,16.0,2018
Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,1992,40,5,2.0,3.0,0.0,34.5,0.29,-5.5,216.0,578.0,37.4,982.0,131.0,44.6,38.8,225.0,62.2,50.6,223.0,12.0,5.4,32.0,18.0,2018
Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,1990,17,2,0.0,3.0,1.0,13.5,0.27,-2.5,72.0,164.0,43.9,197.0,44.0,53.3,43.9,59.0,100.0,72.1,133.0,9.0,6.8,6.0,16.5,2018
