,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
34,Alef\Alef,br BRA,MF,cy APOEL,24,1995,4,231,58,32.1,2.6,2,90,2,2,26,4,1.75,1,3,-2,-0.78,-0.78,1.9,3.2,-1.3,-0.50,-0.22,Matches
35,Danijel Aleksić\Danijel-Aleksic,rs SRB,MF,tr Başakşehir,28,1991,7,436,62,46.9,4.8,5,78,2,2,24,1,1.43,6,5,+1,+0.21,+0.94,4.8,7.5,-2.7,-0.56,-0.16,Matches
36,Almoatasembellah Ali\Almoatasembellah-Ali,ly LBY,MF,pt Vitória,23,1996,1,90,90,16.7,1.0,1,90,1,0,,3,2.71,3,2,+1,+1.00,+1.80,0.4,1.9,-1.5,-1.52,-1.26,Matches
37,Marco Alia\Marco-Alia,al ALB,GK,it Lazio,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
38,Bobby Allain\Bobby-Allain,fr FRA,GK,gr Olympiacos,27,1991,1,90,90,23.1,1.0,1,90,1,0,,2,0.00,0,1,-1,-1.00,-1.00,0.7,2.2,-1.4,-1.43,-0.93,Matches
39,Domingos André Ribeiro Almeida\Domingos-Andre-Ribeiro-Almeida,pt POR,MF,pt Vitória,19,2000,1,63,63,11.7,0.7,1,63,0,0,,1,1.75,2,1,+1,+1.43,+2.18,0.9,1.1,-0.3,-0.38,+0.11,Matches
40,Richard Almeida\Richard-Almeida,az AZE,MF,az Qarabağ Ağdam,30,1989,6,491,82,90.9,5.5,5,90,5,1,41,0,1.14,8,11,-3,-0.55,-0.55,8.3,6.3,+2.0,+0.37,+0.41,Matches
41,Stathis Aloneftis\Stathis-Aloneftis,cy CYP,FW,cy APOEL,36,1983,2,68,34,9.4,0.8,1,61,0,1,7,5,0.00,0,1,-1,-1.32,-1.19,0.2,1.5,-1.3,-1.78,-1.58,Matches
42,José Alonso Lara\Jose-Alonso-Lara,es ESP,MF,es Sevilla,19,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
43,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,26,1993,1,46,46,25.6,0.5,1,46,0,0,,0,1.00,1,1,0,0.00,+3.36,0.7,0.6,0.0,+0.03,+2.38,Matches
44,Edson Álvarez\Edson-Alvarez,mx MEX,DF,nl Ajax,21,1997,1,66,66,36.7,0.7,1,66,0,0,,1,0.00,0,1,-1,-1.36,-1.36,0.0,0.8,-0.8,-1.08,-1.03,Matches
45,Selim Amallah\Selim-Amallah,ma MAR,MF,be Standard Liège,22,1996,5,277,55,51.3,3.1,3,82,1,2,16,0,1.00,4,5,-1,-0.32,+0.02,3.3,5.5,-2.2,-0.73,+0.12,Matches
46,Amath\Amath,sn SEN,FWMF,es Getafe,23,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
47,Nadiem Amiri\Nadiem-Amiri,de GER,MF,de Leverkusen,22,1996,3,203,68,45.1,2.3,2,90,2,1,23,0,2.00,5,2,+3,+1.33,+0.60,4.4,1.8,+2.6,+1.16,+1.08,Matches
48,Stephan Andersen\Stephan-Andersen,dk DEN,GK,dk FC Copenhagen,37,1981,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
49,Andrés Andrade Cedeño\Andres-Andrade-Cedeno,pa PAN,DF,at LASK,20,1998,1,79,79,8.8,0.9,1,79,0,0,,0,0.00,1,1,0,0.00,-0.33,0.6,1.0,-0.4,-0.44,-0.82,Matches
50,Pål André Helland\Pal-Andre-Helland,no NOR,FWMF,no Rosenborg,29,1990,3,97,32,18.0,1.1,1,74,0,2,12,1,0.33,1,1,0,0.00,+1.63,0.7,0.6,+0.1,+0.07,+0.66,Matches
51,Marc Andre Schmerböck\Marc-Andre-Schmerbock,at AUT,FWMF,at Wolfsberger AC,25,1994,4,11,3,2.0,0.1,0,,0,4,3,1,1.00,0,0,0,0.00,+0.17,0.1,0.2,0.0,-0.06,+0.86,Matches
52,Oleksandr Andriyevskyi\Oleksandr-Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,25,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
53,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,19,2000,6,438,73,81.1,4.9,5,85,3,1,11,0,2.17,8,9,-1,-0.21,-3.73,6.8,6.1,+0.7,+0.14,+0.26,Matches
54,Marcus Antonsson\Marcus-Antonsson,se SWE,MFFW,se Malmö,28,1991,4,275,69,38.2,3.1,3,86,2,1,18,4,1.55,2,7,-5,-1.64,-2.24,2.3,3.2,-0.9,-0.29,-0.28,Matches
55,Mirko Antonucci\Mirko-Antonucci,it ITA,MF,it Roma,20,1999,2,28,14,3.5,0.3,0,,0,2,14,2,1.00,0,1,-1,-3.21,-3.90,0.7,1.1,-0.4,-1.41,-1.98,Matches
56,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,4,373,93,95.6,4.1,4,93,3,0,,0,1.00,3,4,-1,-0.24,-0.24,3.2,6.2,-3.0,-0.73,-0.15,Matches
