,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
673,Danijel Subašić\Danijel-Subasic,hr CRO,GK,fr Monaco,31,1984,11,990,90,91.7,11.0,11,,11,0,,0,2.07,22,17,+5,+0.45,+5.45,Matches
674,Marek Suchý\Marek-Suchy,cz CZE,DF,ch Basel,28,1988,6,540,90,100.0,6.0,6,,6,0,,0,0.33,3,12,-9,-1.50,,Matches
675,Erik Sviatchenko\Erik-Sviatchenko,dk DEN,DF,sco Celtic,24,1991,6,518,86,95.9,5.8,6,,5,0,,0,0.67,5,14,-9,-1.56,+6.62,Matches
676,Serhiy Sydorchuk\Serhiy-Sydorchuk,ua UKR,MF,ua Dynamo Kyiv,25,1991,5,357,71,66.1,4.0,5,,0,0,,0,0.80,6,5,+1,+0.25,-0.24,Matches
677,Tachi\Tachi,es ESP,DF,es Atlético Madrid,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
678,Jonathan Tah\Jonathan-Tah,de GER,DF,de Leverkusen,20,1996,5,450,90,62.5,5.0,5,,5,0,,1,1.40,5,4,+1,+0.20,+0.53,Matches
679,Talisca\Talisca,br BRA,MF,tr Beşiktaş,22,1994,3,134,45,24.8,1.5,1,,1,2,,0,1.67,2,1,+1,+0.67,+2.00,Matches
680,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,es Real Madrid,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
681,Alex Telles\Alex-Telles,br BRA,DF,pt Porto,23,1992,7,567,81,78.8,6.3,7,,6,0,,0,1.67,9,3,+6,+0.95,+2.72,Matches
682,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,24,1992,9,810,90,90.0,9.0,9,,9,0,,0,1.78,22,12,+10,+1.11,-2.89,Matches
683,Denis Terentyev\Denis-Terentyev,ru RUS,DFMF,ru Rostov,23,1992,5,210,42,38.9,2.3,2,,2,3,,0,1.44,2,8,-6,-2.57,-2.57,Matches
684,Jens Teunckens\Jens-Teunckens,be BEL,GK,be Club Brugge,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
