,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
29,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,17,611,36,17.9,6.8,5,,1,12,,4,1.06,5,12,-7,-1.03,-0.74,6.8,13.2,-6.5,-1.08,-0.80,Matches
30,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,21,1827,87,53.4,20.3,20,,19,1,,4,1.81,28,19,+9,+0.44,+1.52,23.0,22.3,+0.7,+0.03,+0.88,Matches
31,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,238,22,7.0,2.6,2,,1,9,,5,1.45,5,2,+3,+1.13,+1.02,4.9,1.8,+3.2,+1.27,+1.14,Matches
32,Juan Agüero\Juan-Aguero,es ESP,MF,Atlético Madrid,es La Liga,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
33,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,1963,79,57.4,21.8,22,,13,3,,4,2.52,63,12,+51,+2.34,+0.61,46.9,13.6,+33.4,+1.53,+0.06,Matches
34,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,31,2459,79,71.9,27.3,27,,25,4,,3,1.45,30,20,+10,+0.37,+1.02,32.1,27.3,+4.8,+0.18,+0.56,Matches
35,Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,15,1152,77,33.7,12.8,14,,10,1,,2,0.53,7,17,-10,-0.78,+0.81,11.0,21.1,-10.0,-0.78,-0.10,Matches
36,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Guingamp,fr Ligue 1,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,3006,86,87.9,33.4,35,,30,0,,0,1.09,41,58,-17,-0.51,+0.80,40.3,50.4,-10.1,-0.30,-0.16,Matches
38,Ailton\Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,5,108,22,3.5,1.2,1,,0,4,,7,0.80,1,2,-1,-0.83,-0.86,1.1,1.1,0.0,+0.01,+0.19,Matches
39,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,2048,76,59.9,22.8,25,,16,2,,0,1.22,17,28,-11,-0.48,+0.43,22.6,28.3,-5.7,-0.25,-0.20,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
41,Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,21,1271,61,37.2,14.1,15,,11,6,,15,0.95,12,28,-16,-1.13,-0.71,14.0,27.0,-13.0,-0.92,-0.51,Matches
42,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,904,82,29.5,10.0,10,,10,1,,4,1.82,15,15,0,0.00,-0.71,17.2,13.9,+3.3,+0.33,-0.32,Matches
43,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,3353,88,98.0,37.3,37,,36,1,,0,1.16,44,59,-15,-0.40,+0.94,41.9,56.2,-14.3,-0.38,+1.34,Matches
44,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,3,41,14,1.2,0.5,0,,0,3,,6,1.67,1,0,+1,+2.20,+2.43,1.2,0.6,+0.7,+1.80,+1.87,Matches
45,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,22,1102,50,36.0,12.2,13,,1,9,,7,1.45,14,17,-3,-0.25,-0.38,16.4,17.7,-1.3,-0.11,+0.11,Matches
46,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,1690,77,55.2,18.8,17,,16,5,,3,1.64,42,27,+15,+0.80,+0.60,33.3,24.5,+8.9,+0.47,+0.77,Matches
47,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,1551,67,50.7,17.2,17,,14,6,,0,2.70,51,10,+41,+2.38,+1.01,41.6,15.4,+26.2,+1.52,+0.46,Matches
