Player,Nation,Born,Season,Squad,Comp,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes
Amath,sn SEN,1996.0,2018.0,Getafe,es La Liga,402.0,617.0,65.2,6528.0,2067.0,207.0,290.0,71.4,148.0,209.0,70.8,37.0,78.0,47.4,0.0,2.0,-2.0,22.0,41.0,19.0,5.0,61.0
Jordan Amavi,fr FRA,1994.0,2018.0,Marseille,fr Ligue 1,1050.0,1324.0,79.3,19323.0,6392.0,432.0,493.0,87.6,480.0,569.0,84.4,124.0,215.0,57.7,3.0,1.4,1.6,19.0,65.0,21.0,13.0,72.0
Stephan Ambrosius,de GER,1998.0,2018.0,Hamburger SV,de Bundesliga,30.0,33.0,90.9,654.0,116.0,6.0,6.0,100.0,20.0,20.0,100.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,fr FRA,1998.0,2018.0,Toulouse,fr Ligue 1,962.0,1252.0,76.8,17603.0,7531.0,410.0,470.0,87.2,414.0,506.0,81.8,113.0,210.0,53.8,1.0,1.0,0.0,11.0,80.0,18.0,10.0,74.0
Nadiem Amiri,de GER,1996.0,2018.0,Hoffenheim,de Bundesliga,676.0,875.0,77.3,12100.0,3339.0,307.0,365.0,84.1,270.0,325.0,83.1,85.0,146.0,58.2,3.0,3.1,-0.1,30.0,66.0,29.0,3.0,101.0
Ethan Ampadu,wal WAL,2000.0,2018.0,Chelsea,eng Premier League,19.0,19.0,100.0,432.0,94.0,6.0,6.0,100.0,10.0,10.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Watford,eng Premier League,45.0,78.0,57.7,718.0,219.0,28.0,36.0,77.8,13.0,26.0,50.0,4.0,11.0,36.4,0.0,0.1,-0.1,2.0,5.0,3.0,2.0,7.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Leganés,es La Liga,308.0,485.0,63.5,4915.0,1128.0,170.0,225.0,75.6,113.0,176.0,64.2,21.0,61.0,34.4,1.0,3.1,-2.1,21.0,19.0,21.0,8.0,34.0
Joachim Andersen,dk DEN,1996.0,2018.0,Sampdoria,it Serie A,369.0,420.0,87.9,7876.0,2083.0,106.0,111.0,95.5,198.0,210.0,94.3,63.0,91.0,69.2,0.0,0.0,0.0,1.0,19.0,1.0,0.0,24.0
Felipe Anderson,br BRA,1993.0,2018.0,Lazio,it Serie A,504.0,709.0,71.1,8701.0,2919.0,234.0,292.0,80.1,203.0,261.0,77.8,49.0,107.0,45.8,6.0,4.0,2.0,36.0,39.0,43.0,7.0,79.0
Florin Andone,ro ROU,1993.0,2018.0,La Coruña,es La Liga,182.0,295.0,61.7,2491.0,297.0,112.0,153.0,73.2,64.0,99.0,64.6,1.0,18.0,5.6,3.0,1.0,2.0,9.0,6.0,7.0,3.0,9.0
Benjamin André,fr FRA,1990.0,2018.0,Rennes,fr Ligue 1,1453.0,1866.0,77.9,24773.0,5877.0,702.0,850.0,82.6,569.0,694.0,82.0,136.0,225.0,60.4,2.0,1.7,0.3,28.0,150.0,23.0,5.0,148.0
Marco Andreolli,it ITA,1986.0,2018.0,Cagliari,it Serie A,681.0,847.0,80.4,15703.0,5003.0,151.0,169.0,89.3,385.0,426.0,90.4,137.0,237.0,57.8,0.0,0.0,0.0,1.0,38.0,4.0,0.0,36.0
Yoann Andreu,fr FRA,1989.0,2018.0,Angers,fr Ligue 1,910.0,1176.0,77.4,15622.0,7141.0,429.0,480.0,89.4,375.0,458.0,81.9,84.0,189.0,44.4,2.0,1.8,0.2,19.0,67.0,19.0,15.0,94.0
Miguel Ángel Guerrero,es ESP,1990.0,2018.0,Leganés,es La Liga,274.0,356.0,77.0,3920.0,540.0,166.0,203.0,81.8,91.0,124.0,73.4,12.0,16.0,75.0,3.0,1.7,1.3,14.0,12.0,4.0,0.0,11.0
Miguel Ángel Rubio,es ESP,1998.0,2018.0,Getafe,es La Liga,3.0,7.0,42.9,40.0,39.0,2.0,3.0,66.7,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
