Player,Nation,Born,Season,Squad,Comp,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Juan Brunetta,ar ARG,1997.0,2021.0,Parma,it Serie A,2.0,0.0,0.0,7.0,10.0,1.0,0.0,0.0,0.0,17.0,2.0,9.0,18.2
Cédric Brunner,ch SUI,1994.0,2021.0,Arminia,de Bundesliga,4.0,0.0,0.0,29.0,26.0,1.0,0.0,0.0,0.0,248.0,45.0,25.0,64.3
Jacob Bruun Larsen,dk DEN,1998.0,2021.0,Hoffenheim,de Bundesliga,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,25.0
Bryan,es ESP,2001.0,2021.0,Sevilla,es La Liga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Bryan,es ESP,2001.0,2021.0,Eibar,es La Liga,5.0,0.0,0.0,23.0,34.0,8.0,0.0,0.0,0.0,131.0,11.0,39.0,22.0
Joe Bryan,eng ENG,1993.0,2021.0,Fulham,eng Premier League,2.0,0.0,0.0,6.0,5.0,0.0,1.0,1.0,0.0,48.0,6.0,3.0,66.7
Kean Bryan,eng ENG,1996.0,2021.0,Sheffield Utd,eng Premier League,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,77.0,20.0,10.0,66.7
Lucas Buadés,fr FRA,1997.0,2021.0,Nîmes,fr Ligue 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ante Budimir,hr CRO,1991.0,2021.0,Osasuna,es La Liga,2.0,0.0,0.0,20.0,23.0,19.0,0.0,0.0,0.0,53.0,88.0,60.0,59.5
Marius Bülter,de GER,1993.0,2021.0,Union Berlin,de Bundesliga,1.0,0.0,0.0,12.0,14.0,3.0,0.0,0.0,0.0,76.0,13.0,20.0,39.4
Alessandro Buongiorno,it ITA,1999.0,2021.0,Torino,it Serie A,2.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,34.0,12.0,4.0,75.0
Esteban Burgos,ar ARG,1992.0,2021.0,Eibar,es La Liga,5.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,168.0,38.0,32.0,54.3
Burgui,es ESP,1993.0,2021.0,Alavés,es La Liga,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
