Player,Nation,Born,Season,Squad,Comp,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG
Lois Diony,fr FRA,1992.0,2020.0,Saint-Étienne,fr Ligue 1,2.0,14.0,8.0,57.1,1.89,1.08,0.14,0.25,16.4,2.0,0.0,0.0,1.4,1.4,0.1,0.6,0.6
Issa Diop,fr FRA,1997.0,2020.0,West Ham,eng Premier League,3.0,15.0,6.0,40.0,0.49,0.2,0.2,0.5,7.7,0.0,0.0,0.0,1.6,1.6,0.11,1.4,1.4
Papakouli Diop,sn SEN,1986.0,2020.0,Eibar,es La Liga,1.0,26.0,7.0,26.9,1.04,0.28,0.04,0.14,22.4,0.0,0.0,0.0,1.1,1.1,0.04,-0.1,-0.1
Assane Dioussé,sn SEN,1997.0,2020.0,Saint-Étienne,fr Ligue 1,0.0,1.0,1.0,100.0,0.75,0.75,0.0,0.0,21.8,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Axel Disasi,fr FRA,1998.0,2020.0,Reims,fr Ligue 1,1.0,15.0,2.0,13.3,0.56,0.07,0.07,0.5,10.4,0.0,0.0,0.0,2.2,2.2,0.15,-1.2,-1.2
Tiago Djaló,pt POR,2000.0,2020.0,Lille,fr Ligue 1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Djené,tg TOG,1991.0,2020.0,Getafe,es La Liga,0.0,5.0,1.0,20.0,0.15,0.03,0.0,0.0,11.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
Moussa Djenepo,ml MLI,1998.0,2020.0,Southampton,eng Premier League,2.0,20.0,7.0,35.0,1.94,0.68,0.1,0.29,17.4,0.0,0.0,0.0,2.7,2.7,0.14,-0.7,-0.7
Koffi Djidji,ci CIV,1992.0,2020.0,Torino,it Serie A,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Alexander Djiku,gh GHA,1994.0,2020.0,Strasbourg,fr Ligue 1,1.0,20.0,6.0,30.0,0.87,0.26,0.05,0.17,16.7,0.0,0.0,0.0,2.3,2.3,0.11,-1.3,-1.3
Berat Djimsiti,al ALB,1993.0,2020.0,Atalanta,it Serie A,2.0,22.0,3.0,13.6,0.71,0.1,0.09,0.67,9.2,0.0,0.0,0.0,1.8,1.8,0.08,0.2,0.2
Naïs Djouahra,fr FRA,1999.0,2020.0,Real Sociedad,es La Liga,0.0,1.0,0.0,0.0,3.1,0.0,0.0,,16.1,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1
Matt Doherty,ie IRL,1992.0,2020.0,Wolves,eng Premier League,4.0,34.0,15.0,44.1,1.08,0.48,0.12,0.27,10.9,0.0,0.0,0.0,5.2,5.2,0.15,-1.2,-1.2
Kasper Dolberg,dk DEN,1997.0,2020.0,Nice,fr Ligue 1,11.0,42.0,25.0,59.5,2.0,1.19,0.26,0.44,13.6,0.0,0.0,0.0,7.2,7.2,0.17,3.8,3.8
Keagan Dolly,za RSA,1993.0,2020.0,Montpellier,fr Ligue 1,0.0,4.0,2.0,50.0,2.43,1.22,0.0,0.0,28.3,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Nicolás Domínguez,ar ARG,1998.0,2020.0,Bologna,it Serie A,0.0,10.0,1.0,10.0,1.29,0.13,0.0,0.0,22.9,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Giulio Donati,it ITA,1990.0,2020.0,Lecce,it Serie A,1.0,9.0,2.0,22.2,0.46,0.1,0.11,0.5,22.0,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5
Ji Dong-won,kr KOR,1991.0,2020.0,Mainz 05,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Anastasios Donis,gr GRE,1996.0,2020.0,Reims,fr Ligue 1,0.0,15.0,7.0,46.7,2.22,1.03,0.0,0.0,20.7,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1
Alfredo Donnarumma,it ITA,1990.0,2020.0,Brescia,it Serie A,7.0,38.0,13.0,34.2,2.03,0.69,0.13,0.38,16.2,0.0,2.0,2.0,6.6,5.1,0.13,0.4,-0.1
Gabriel Dos Santos,br BRA,1997.0,2020.0,Lille,fr Ligue 1,1.0,16.0,3.0,18.8,0.69,0.13,0.06,0.33,10.9,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
Mathieu Dossevi,tg TOG,1988.0,2020.0,Toulouse,fr Ligue 1,1.0,22.0,3.0,13.6,1.13,0.15,0.05,0.33,18.9,1.0,0.0,0.0,1.7,1.7,0.08,-0.7,-0.7
Bas Dost,nl NED,1989.0,2020.0,Eint Frankfurt,de Bundesliga,8.0,32.0,17.0,53.1,1.95,1.04,0.25,0.47,8.9,0.0,0.0,0.0,6.7,6.7,0.21,1.3,1.3
Abdoulaye Doucouré,fr FRA,1993.0,2020.0,Watford,eng Premier League,4.0,62.0,12.0,19.4,1.77,0.34,0.06,0.33,16.7,0.0,0.0,0.0,5.3,5.3,0.09,-1.3,-1.3
Mamadou Doucouré,fr FRA,1998.0,2020.0,M'Gladbach,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Moussa Doumbia,ml MLI,1994.0,2020.0,Reims,fr Ligue 1,2.0,41.0,8.0,19.5,2.15,0.42,0.02,0.13,23.3,3.0,1.0,1.0,2.9,2.1,0.05,-0.9,-1.1
Souleyman Doumbia,ci CIV,1996.0,2020.0,Angers,fr Ligue 1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Souleyman Doumbia,ci CIV,1996.0,2020.0,Rennes,fr Ligue 1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Thomas Doyle,eng ENG,2001.0,2020.0,Manchester City,eng Premier League,0.0,1.0,1.0,100.0,5.63,5.63,0.0,0.0,19.0,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1
Mohamed Dräger,tn TUN,1996.0,2020.0,Paderborn 07,de Bundesliga,1.0,15.0,3.0,20.0,0.93,0.19,0.07,0.33,19.5,0.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2
Aleksandar Dragović,at AUT,1991.0,2020.0,Leverkusen,de Bundesliga,0.0,2.0,0.0,0.0,0.17,0.0,0.0,,6.0,0.0,0.0,0.0,0.5,0.5,0.25,-0.5,-0.5
Julian Draxler,de GER,1993.0,2020.0,Paris S-G,fr Ligue 1,0.0,13.0,6.0,46.2,1.71,0.79,0.0,0.0,17.8,0.0,0.0,0.0,1.5,1.5,0.11,-1.5,-1.5
Dominick Drexler,de GER,1990.0,2020.0,Köln,de Bundesliga,3.0,20.0,8.0,40.0,1.13,0.45,0.15,0.38,17.9,0.0,0.0,0.0,2.4,2.4,0.12,0.6,0.6
Danny Drinkwater,eng ENG,1990.0,2020.0,Aston Villa,eng Premier League,0.0,2.0,0.0,0.0,0.69,0.0,0.0,,19.5,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Danny Drinkwater,eng ENG,1990.0,2020.0,Burnley,eng Premier League,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Josip Drmić,ch SUI,1992.0,2020.0,Norwich City,eng Premier League,1.0,13.0,5.0,38.5,1.81,0.7,0.08,0.2,13.2,0.0,0.0,0.0,2.6,2.6,0.23,-1.6,-1.6
Domingos Duarte,pt POR,1995.0,2020.0,Granada,es La Liga,3.0,10.0,4.0,40.0,0.29,0.12,0.3,0.75,7.6,0.0,0.0,0.0,1.2,1.2,0.12,1.8,1.8
Léo Duarte,br BRA,1996.0,2020.0,Milan,it Serie A,0.0,3.0,0.0,0.0,0.67,0.0,0.0,,7.4,0.0,0.0,0.0,0.3,0.3,0.12,-0.3,-0.3
Óscar Duarte,cr CRC,1989.0,2020.0,Levante,es La Liga,0.0,4.0,1.0,25.0,0.74,0.19,0.0,0.0,8.1,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Rubén Duarte,es ESP,1995.0,2020.0,Alavés,es La Liga,0.0,20.0,8.0,40.0,0.68,0.27,0.0,0.0,17.3,0.0,0.0,0.0,1.3,1.3,0.06,-1.3,-1.3
Edgaras Dubickas,lt LTU,1998.0,2020.0,Lecce,it Serie A,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Leo Dubois,fr FRA,1994.0,2020.0,Lyon,fr Ligue 1,0.0,5.0,0.0,0.0,0.33,0.0,0.0,,24.2,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Ondrej Duda,sk SVK,1994.0,2020.0,Norwich City,eng Premier League,0.0,10.0,3.0,30.0,1.24,0.37,0.0,0.0,20.4,2.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7
Ondrej Duda,sk SVK,1994.0,2020.0,Hertha BSC,de Bundesliga,0.0,7.0,5.0,71.4,1.41,1.01,0.0,0.0,20.4,2.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5
Shane Duffy,ie IRL,1992.0,2020.0,Brighton,eng Premier League,1.0,6.0,1.0,16.7,0.44,0.07,0.17,1.0,11.4,0.0,0.0,0.0,1.5,1.5,0.25,-0.5,-0.5
Haris Duljević,ba BIH,1993.0,2020.0,Nîmes,fr Ligue 1,0.0,14.0,4.0,28.6,2.42,0.69,0.0,0.0,24.5,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9
Paul Dummett,wal WAL,1991.0,2020.0,Newcastle Utd,eng Premier League,0.0,1.0,1.0,100.0,0.07,0.07,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Alfred Duncan,gh GHA,1993.0,2020.0,Fiorentina,it Serie A,1.0,15.0,5.0,33.3,1.52,0.51,0.07,0.2,22.6,0.0,0.0,0.0,0.8,0.8,0.05,0.2,0.2
Alfred Duncan,gh GHA,1993.0,2020.0,Sassuolo,it Serie A,1.0,15.0,3.0,20.0,1.6,0.32,0.07,0.33,22.9,0.0,0.0,0.0,1.4,1.4,0.09,-0.4,-0.4
Lewis Dunk,eng ENG,1991.0,2020.0,Brighton,eng Premier League,3.0,30.0,10.0,33.3,0.84,0.28,0.1,0.3,11.0,5.0,0.0,0.0,4.0,4.0,0.13,-1.0,-1.0
Erik Durm,de GER,1992.0,2020.0,Eint Frankfurt,de Bundesliga,0.0,13.0,3.0,23.1,2.29,0.53,0.0,0.0,18.2,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7
Riza Durmisi,dk DEN,1994.0,2020.0,Nice,fr Ligue 1,0.0,1.0,1.0,100.0,0.56,0.56,0.0,0.0,31.4,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Hugo Duro,es ESP,1999.0,2020.0,Getafe,es La Liga,1.0,6.0,3.0,50.0,1.43,0.71,0.17,0.33,9.5,0.0,0.0,0.0,1.0,1.0,0.16,0.0,0.0
Jean-Kevin Duverne,fr FRA,1997.0,2020.0,Brest,fr Ligue 1,0.0,2.0,1.0,50.0,0.15,0.08,0.0,0.0,16.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Paulo Dybala,ar ARG,1993.0,2020.0,Juventus,it Serie A,11.0,100.0,35.0,35.0,4.18,1.46,0.1,0.29,19.2,10.0,1.0,1.0,8.8,8.0,0.08,2.2,2.0
Edin Džeko,ba BIH,1986.0,2020.0,Roma,it Serie A,16.0,125.0,46.0,36.8,3.94,1.45,0.13,0.35,12.6,0.0,0.0,0.0,18.1,18.1,0.15,-2.1,-2.1
Blerim Džemaili,ch SUI,1986.0,2020.0,Bologna,it Serie A,1.0,16.0,4.0,25.0,2.06,0.52,0.06,0.25,22.4,0.0,0.0,0.0,0.6,0.6,0.03,0.4,0.4
Bruno Ecuele Manga,ga GAB,1988.0,2020.0,Dijon,fr Ligue 1,0.0,17.0,0.0,0.0,0.61,0.0,0.0,,12.9,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2
Simone Edera,it ITA,1997.0,2020.0,Torino,it Serie A,1.0,14.0,7.0,50.0,3.17,1.58,0.07,0.14,19.0,1.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1
John Egan,ie IRL,1992.0,2020.0,Sheffield Utd,eng Premier League,2.0,28.0,5.0,17.9,0.79,0.14,0.07,0.4,8.8,0.0,0.0,0.0,2.3,2.3,0.08,-0.3,-0.3
Johannes Eggestein,de GER,1998.0,2020.0,Werder Bremen,de Bundesliga,1.0,15.0,6.0,40.0,2.65,1.06,0.07,0.17,17.9,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
Maximilian Eggestein,de GER,1996.0,2020.0,Werder Bremen,de Bundesliga,1.0,42.0,11.0,26.2,1.32,0.35,0.02,0.09,20.9,0.0,0.0,0.0,2.5,2.5,0.06,-1.5,-1.5
Kingsley Ehizibue,nl NED,1995.0,2020.0,Köln,de Bundesliga,1.0,12.0,4.0,33.3,0.46,0.15,0.08,0.25,21.0,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0
Albin Ekdal,se SWE,1989.0,2020.0,Sampdoria,it Serie A,0.0,17.0,2.0,11.8,0.64,0.08,0.0,0.0,18.3,0.0,0.0,0.0,1.6,1.6,0.09,-1.6,-1.6
Harvey Elliot,eng ENG,2003.0,2020.0,Liverpool,eng Premier League,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Elif Elmas,mk MKD,1999.0,2020.0,Napoli,it Serie A,1.0,23.0,8.0,34.8,1.83,0.63,0.04,0.13,16.2,0.0,0.0,0.0,1.9,1.9,0.08,-0.9,-0.9
Ilay Elmkies,il ISR,2000.0,2020.0,Hoffenheim,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Ahmed Elmohamady,eg EGY,1987.0,2020.0,Aston Villa,eng Premier League,1.0,5.0,1.0,20.0,0.44,0.09,0.2,1.0,11.1,0.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8
Aritz Elustondo,es ESP,1994.0,2020.0,Real Sociedad,es La Liga,0.0,8.0,1.0,12.5,0.48,0.06,0.0,0.0,9.5,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7
Nico Elvedi,ch SUI,1996.0,2020.0,M'Gladbach,de Bundesliga,1.0,8.0,1.0,12.5,0.28,0.03,0.13,1.0,9.0,0.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4
Rodrigo Ely,br BRA,1993.0,2020.0,Alavés,es La Liga,2.0,6.0,3.0,50.0,0.25,0.13,0.33,0.67,8.3,0.0,0.0,0.0,0.7,0.7,0.11,1.3,1.3
Adri Embarba,es ESP,1992.0,2020.0,Espanyol,es La Liga,2.0,37.0,14.0,37.8,2.43,0.92,0.03,0.07,25.4,12.0,1.0,1.0,2.8,2.1,0.06,-0.8,-1.1
Breel Embolo,ch SUI,1997.0,2020.0,M'Gladbach,de Bundesliga,8.0,44.0,18.0,40.9,2.55,1.05,0.18,0.44,12.0,0.0,0.0,1.0,9.0,8.2,0.19,-1.0,-0.2
Emerson,br BRA,1999.0,2020.0,Betis,es La Liga,3.0,23.0,4.0,17.4,0.73,0.13,0.13,0.75,15.8,0.0,0.0,0.0,1.2,1.2,0.05,1.8,1.8
Renaud Emond,be BEL,1991.0,2020.0,Nantes,fr Ligue 1,0.0,4.0,1.0,25.0,1.23,0.31,0.0,0.0,9.3,0.0,0.0,0.0,0.9,0.9,0.23,-0.9,-0.9
Alan Empereur,br BRA,1994.0,2020.0,Hellas Verona,it Serie A,0.0,2.0,0.0,0.0,0.21,0.0,0.0,,11.5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Youssef En-Nesyri,ma MAR,1997.0,2020.0,Leganés,es La Liga,4.0,39.0,18.0,46.2,2.53,1.17,0.1,0.22,14.5,0.0,0.0,0.0,3.9,3.9,0.1,0.1,0.1
Youssef En-Nesyri,ma MAR,1997.0,2020.0,Sevilla,es La Liga,4.0,21.0,8.0,38.1,2.37,0.9,0.19,0.5,10.9,0.0,0.0,0.0,3.6,3.6,0.17,0.4,0.4
Björn Engels,be BEL,1994.0,2020.0,Aston Villa,eng Premier League,1.0,7.0,1.0,14.3,0.44,0.06,0.14,1.0,6.2,0.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2
Sergi Enrich,es ESP,1990.0,2020.0,Eibar,es La Liga,1.0,30.0,6.0,20.0,1.45,0.29,0.03,0.17,10.3,0.0,0.0,0.0,2.6,2.6,0.09,-1.6,-1.6
Javier Eraso,es ESP,1990.0,2020.0,Leganés,es La Liga,0.0,10.0,4.0,40.0,1.1,0.44,0.0,0.0,18.3,1.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Christian Eriksen,dk DEN,1992.0,2020.0,Tottenham,eng Premier League,2.0,26.0,9.0,34.6,2.13,0.74,0.08,0.22,24.2,7.0,0.0,0.0,1.9,1.9,0.07,0.1,0.1
Christian Eriksen,dk DEN,1992.0,2020.0,Inter,it Serie A,1.0,25.0,9.0,36.0,3.2,1.15,0.04,0.11,19.8,5.0,0.0,0.0,2.4,2.4,0.12,-1.4,-1.4
Gonzalo Escalante,ar ARG,1993.0,2020.0,Eibar,es La Liga,0.0,23.0,5.0,21.7,1.24,0.27,0.0,0.0,14.2,0.0,0.0,0.0,1.7,1.7,0.07,-1.7,-1.7
Sergio Escudero,es ESP,1989.0,2020.0,Sevilla,es La Liga,1.0,8.0,6.0,75.0,0.93,0.7,0.13,0.17,19.8,0.0,0.0,0.0,0.8,0.8,0.09,0.2,0.2
Espeto,br BRA,1997.0,2020.0,SPAL,it Serie A,1.0,53.0,11.0,20.8,2.26,0.47,0.02,0.09,20.4,0.0,0.0,0.0,2.3,2.3,0.04,-1.3,-1.3
Bernardo Espinosa,co COL,1989.0,2020.0,Espanyol,es La Liga,3.0,22.0,8.0,36.4,0.88,0.32,0.14,0.38,9.5,0.0,0.0,0.0,1.8,1.8,0.08,1.2,1.2
Sebastiano Esposito,it ITA,2002.0,2020.0,Inter,it Serie A,1.0,10.0,3.0,30.0,4.52,1.36,0.0,0.0,19.3,1.0,1.0,1.0,1.7,1.0,0.1,-0.7,-1.0
Vicente Esquerdo,es ESP,1999.0,2020.0,Valencia,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Alexander Esswein,de GER,1990.0,2020.0,Hertha BSC,de Bundesliga,0.0,2.0,1.0,50.0,0.85,0.42,0.0,0.0,35.0,0.0,0.0,0.0,0.3,0.3,0.17,-0.3,-0.3
Pervis Estupiñán,ec ECU,1998.0,2020.0,Osasuna,es La Liga,1.0,18.0,3.0,16.7,0.54,0.09,0.06,0.33,18.1,1.0,0.0,0.0,1.2,1.2,0.07,-0.2,-0.2
Oghenekaro Etebo,ng NGA,1995.0,2020.0,Getafe,es La Liga,1.0,9.0,3.0,33.3,1.42,0.47,0.11,0.33,16.2,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4
Beñat Etxebarria,es ESP,1987.0,2020.0,Athletic Club,es La Liga,0.0,5.0,2.0,40.0,1.14,0.46,0.0,0.0,26.3,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Xabier Etxeita,es ESP,1987.0,2020.0,Getafe,es La Liga,0.0,7.0,2.0,28.6,0.44,0.12,0.0,0.0,11.0,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3
Antony Evans,eng ENG,1998.0,2020.0,Paderborn 07,de Bundesliga,0.0,2.0,1.0,50.0,1.15,0.58,0.0,0.0,23.5,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Jonny Evans,nir NIR,1988.0,2020.0,Leicester City,eng Premier League,1.0,24.0,10.0,41.7,0.64,0.27,0.04,0.1,7.7,0.0,0.0,0.0,2.6,2.6,0.11,-1.6,-1.6
Edu Expósito,es ESP,1996.0,2020.0,Eibar,es La Liga,4.0,33.0,16.0,48.5,1.28,0.62,0.09,0.19,24.0,0.0,1.0,2.0,2.8,1.1,0.03,1.2,1.9
Valentin Eysseric,fr FRA,1992.0,2020.0,Hellas Verona,it Serie A,0.0,5.0,1.0,20.0,1.27,0.25,0.0,0.0,18.8,1.0,0.0,0.0,0.5,0.5,0.11,-0.5,-0.5
Valentin Eysseric,fr FRA,1992.0,2020.0,Fiorentina,it Serie A,0.0,2.0,1.0,50.0,4.29,2.14,0.0,0.0,25.1,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Fabinho,br BRA,1993.0,2020.0,Liverpool,eng Premier League,2.0,12.0,4.0,33.3,0.52,0.17,0.17,0.5,26.7,2.0,0.0,0.0,0.4,0.4,0.03,1.6,1.6
Fábio,br BRA,1990.0,2020.0,Nantes,fr Ligue 1,0.0,4.0,0.0,0.0,0.43,0.0,0.0,,25.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Cesc Fàbregas,es ESP,1987.0,2020.0,Monaco,fr Ligue 1,0.0,9.0,1.0,11.1,0.87,0.1,0.0,0.0,21.7,1.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Fayçal Fajr,ma MAR,1988.0,2020.0,Getafe,es La Liga,0.0,8.0,2.0,25.0,1.79,0.45,0.0,0.0,22.9,2.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4
Luca Falbo,it ITA,2000.0,2020.0,Lazio,it Serie A,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Filippo Falco,it ITA,1992.0,2020.0,Lecce,it Serie A,4.0,57.0,22.0,38.6,2.55,0.98,0.07,0.18,21.2,5.0,0.0,0.0,3.1,3.1,0.05,0.9,0.9
Eliseo Falcon,es ESP,1997.0,2020.0,Levante,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Simon Falette,gn GUI,1992.0,2020.0,Eint Frankfurt,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Iago Falque,es ESP,1990.0,2020.0,Torino,it Serie A,0.0,3.0,2.0,66.7,2.65,1.76,0.0,0.0,20.9,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
Iago Falque,es ESP,1990.0,2020.0,Genoa,it Serie A,2.0,12.0,2.0,16.7,2.08,0.35,0.0,0.0,24.9,2.0,2.0,3.0,3.1,0.8,0.07,-1.1,-0.8
Akin Famewo,eng ENG,1998.0,2020.0,Norwich City,eng Premier League,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Andri Fannar Baldursson,is ISL,2002.0,2020.0,Bologna,it Serie A,0.0,2.0,0.0,0.0,1.26,0.0,0.0,,21.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
Paolo Faragò,it ITA,1993.0,2020.0,Cagliari,it Serie A,1.0,13.0,4.0,30.8,0.87,0.27,0.08,0.25,14.3,0.0,0.0,0.0,1.5,1.5,0.12,-0.5,-0.5
Davide Faraoni,it ITA,1991.0,2020.0,Hellas Verona,it Serie A,5.0,42.0,13.0,31.0,1.17,0.36,0.12,0.38,17.3,0.0,0.0,0.0,4.5,4.5,0.11,0.5,0.5
Mohamed Fares,dz ALG,1996.0,2020.0,SPAL,it Serie A,0.0,6.0,1.0,16.7,1.28,0.21,0.0,0.0,26.5,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Diego Farias,br BRA,1990.0,2020.0,Lecce,it Serie A,2.0,23.0,6.0,26.1,2.51,0.66,0.09,0.33,19.5,0.0,0.0,0.0,1.7,1.7,0.07,0.3,0.3
Ansu Fati,es ESP,2002.0,2020.0,Barcelona,es La Liga,7.0,33.0,12.0,36.4,2.89,1.05,0.21,0.58,15.1,0.0,0.0,0.0,3.7,3.7,0.11,3.3,3.3
Julien Faussurier,fr FRA,1987.0,2020.0,Brest,fr Ligue 1,2.0,10.0,5.0,50.0,0.45,0.23,0.2,0.4,15.9,0.0,0.0,0.0,0.5,0.5,0.05,1.5,1.5
Andrea Favilli,it ITA,1997.0,2020.0,Genoa,it Serie A,0.0,14.0,3.0,21.4,1.91,0.41,0.0,0.0,13.3,0.0,0.0,0.0,1.6,1.6,0.11,-1.6,-1.6
Federico Fazio,ar ARG,1987.0,2020.0,Roma,it Serie A,1.0,4.0,1.0,25.0,0.3,0.07,0.25,1.0,7.8,0.0,0.0,0.0,0.3,0.3,0.08,0.7,0.7
Aleix Febas,es ESP,1996.0,2020.0,Mallorca,es La Liga,0.0,8.0,3.0,37.5,0.43,0.16,0.0,0.0,20.2,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6
Zouhair Feddal,ma MAR,1989.0,2020.0,Betis,es La Liga,1.0,9.0,3.0,33.3,0.57,0.19,0.11,0.33,12.7,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2
Ljubomir Fejsa,rs SRB,1988.0,2020.0,Alavés,es La Liga,0.0,1.0,0.0,0.0,0.11,0.0,0.0,,29.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Nabil Fekir,fr FRA,1993.0,2020.0,Betis,es La Liga,7.0,101.0,40.0,39.6,3.45,1.36,0.06,0.15,20.7,8.0,1.0,1.0,7.4,6.6,0.07,-0.4,-0.6
Felipe,br BRA,1989.0,2020.0,Atlético Madrid,es La Liga,1.0,20.0,5.0,25.0,0.86,0.21,0.05,0.2,10.8,0.0,0.0,0.0,1.1,1.1,0.06,-0.1,-0.1
Luiz Felipe,br BRA,1997.0,2020.0,Lazio,it Serie A,1.0,8.0,1.0,12.5,0.36,0.04,0.13,1.0,11.9,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5
Lucas Felippe,br BRA,2000.0,2020.0,Hellas Verona,it Serie A,0.0,1.0,0.0,0.0,3.21,0.0,0.0,,22.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Ohis Felix Uduokhai,de GER,1997.0,2020.0,Augsburg,de Bundesliga,0.0,5.0,0.0,0.0,0.23,0.0,0.0,,14.1,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
João Félix,pt POR,1999.0,2020.0,Atlético Madrid,es La Liga,6.0,64.0,18.0,28.1,3.3,0.93,0.09,0.33,18.2,2.0,0.0,0.0,7.4,7.4,0.12,-1.4,-1.4
Kiko Femenía,es ESP,1991.0,2020.0,Watford,eng Premier League,0.0,5.0,1.0,20.0,0.2,0.04,0.0,0.0,26.7,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Zinedine Ferhat,dz ALG,1993.0,2020.0,Nîmes,fr Ligue 1,3.0,45.0,14.0,31.1,1.8,0.56,0.07,0.21,18.7,3.0,0.0,0.0,3.1,3.1,0.07,-0.1,-0.1
Bruno Fernandes,pt POR,1994.0,2020.0,Manchester Utd,eng Premier League,8.0,40.0,14.0,35.0,3.04,1.06,0.1,0.29,24.2,7.0,4.0,4.0,5.8,2.8,0.07,2.2,1.2
Edimilson Fernandes,ch SUI,1996.0,2020.0,Mainz 05,de Bundesliga,1.0,22.0,2.0,9.1,1.33,0.12,0.05,0.5,25.0,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2
