Player,Nation,Born,Season,Squad,Comp,Pos,Secondary_Pos,90s
Cristiano Biraghi,it ITA,1992.0,2018.0,Fiorentina,it Serie A,DF,,33.1
Mame Biram Diouf,sn SEN,1987.0,2018.0,Stoke City,eng Premier League,FW,MF,28.8
Davide Biraschi,it ITA,1994.0,2018.0,Genoa,it Serie A,DF,,20.0
Valter Birsa,si SVN,1986.0,2018.0,Chievo,it Serie A,MF,FW,27.8
Milan Biševac,rs SRB,1983.0,2018.0,Metz,fr Ligue 1,DF,,7.9
Yves Bissouma,ml MLI,1996.0,2018.0,Lille,fr Ligue 1,MF,DF,17.4
Leonardo Bittencourt,de GER,1993.0,2018.0,Köln,de Bundesliga,MF,FW,17.9
Ludovic Blas,fr FRA,1997.0,2018.0,Guingamp,fr Ligue 1,MF,,19.9
Pablo de Blasis,ar ARG,1988.0,2018.0,Mainz 05,de Bundesliga,FW,MF,18.4
Jérémy Blayac,fr FRA,1983.0,2018.0,Strasbourg,fr Ligue 1,FW,MF,10.2
Alexis Blin,fr FRA,1996.0,2018.0,Toulouse,fr Ligue 1,MF,,21.0
Daley Blind,nl NED,1990.0,2018.0,Manchester Utd,eng Premier League,DF,MF,4.0
Danny Blum,de GER,1991.0,2018.0,Eint Frankfurt,de Bundesliga,FW,DF,0.3
Emmanuel Boateng,gh GHA,1996.0,2018.0,Levante,es La Liga,FW,,14.2
Jérôme Boateng,de GER,1988.0,2018.0,Bayern Munich,de Bundesliga,DF,,18.2
Kevin-Prince Boateng,gh GHA,1987.0,2018.0,Eint Frankfurt,de Bundesliga,MF,FW,26.2
Raúl Bobadilla,py PAR,1987.0,2018.0,M'Gladbach,de Bundesliga,FW,MF,5.0
Yann Bodiger,fr FRA,1995.0,2018.0,Toulouse,fr Ligue 1,MF,FW,2.5
Mathieu Bodmer,fr FRA,1982.0,2018.0,Amiens,fr Ligue 1,DF,MF,4.4
Jeremie Boga,ci CIV,1997.0,2018.0,Chelsea,eng Premier League,MF,,0.2
