,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
804,Dušan Tadić\Dusan-Tadic,rs SRB,FWMF,nl Ajax,32-142,1988,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,7,7,0,0.00,,8.6,7.4,+1.2,+0.21,,Matches
805,Nicolás Tagliafico\Nicolas-Tagliafico,ar ARG,DF,nl Ajax,28-223,1992,6,512,85,94.8,5.7,6,85,5,0,,0,1.17,7,6,+1,+0.18,+3.39,8.1,6.6,+1.4,+0.25,+0.83,Matches
806,Taison\Taison,br BRA,FW,ua Shakhtar,33-088,1988,4,279,70,51.7,3.1,3,68,0,1,76,0,1.25,1,4,-3,-0.97,+0.41,2.2,4.9,-2.8,-0.89,+0.20,Matches
807,Flavien Tait\Flavien-Tait,fr FRA,MF,fr Rennes,28-068,1993,3,43,14,8.0,0.5,0,,0,3,14,1,0.33,1,1,0,0.00,+1.45,1.9,0.4,+1.5,+3.05,+3.92,Matches
808,Mehdi Taremi\Mehdi-Taremi,ir IRN,FW,pt Porto,28-267,1992,5,172,34,20.5,1.9,2,72,1,3,10,3,1.80,3,2,+1,+0.52,-0.02,2.8,3.8,-1.0,-0.53,-0.43,Matches
809,Mahmut Tekdemir\Mahmut-Tekdemir,tr TUR,MF,tr Başakşehir,33-081,1988,3,178,59,33.0,2.0,1,88,0,2,45,1,0.00,4,8,-4,-2.02,-0.28,1.5,5.7,-4.1,-2.10,-0.87,Matches
810,Alex Telles\Alex-Telles,br BRA,DF,eng Manchester Utd,28-117,1992,4,291,73,53.9,3.2,4,73,2,0,,0,1.50,6,7,-1,-0.31,-2.48,6.7,5.4,+1.3,+0.39,-0.62,Matches
811,Arnau Tenas\Arnau-Tenas,es ESP,GK,es Barcelona,19-316,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
812,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,28-346,1992,5,450,90,62.5,5.0,5,90,5,0,,0,1.40,8,9,-1,-0.20,-3.20,10.9,9.1,+1.9,+0.37,-1.74,Matches
813,Martin Terrier\Martin-Terrier,fr FRA,FWMF,fr Rennes,24-038,1997,3,241,80,44.6,2.7,3,80,2,0,,0,0.33,1,5,-4,-1.49,-0.29,2.5,6.0,-3.5,-1.30,-1.33,Matches
814,Tetê\Tete,br BRA,MFFW,ua Shakhtar,21-055,2000,6,514,86,95.2,5.7,6,86,5,0,,0,1.33,5,12,-7,-1.23,-1.23,4.0,9.8,-5.7,-1.01,-0.39,Matches
815,Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,fr Marseille,28-075,1993,6,479,80,88.7,5.3,6,80,0,0,,0,0.50,2,9,-7,-1.32,+4.59,4.7,8.4,-3.6,-0.68,+1.92,Matches
816,Valdemar Thorsen\Valdemar-Thorsen,dk DEN,GK,dk Midtjylland,19-331,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
817,Marcus Thuram\Marcus-Thuram,fr FRA,FW,de M'Gladbach,23-248,1997,8,598,75,83.1,6.6,7,81,2,1,28,0,1.00,16,10,+6,+0.90,+3.12,9.7,9.4,+0.3,+0.04,+1.75,Matches
818,Steffen Tigges\Steffen-Tigges,de GER,FW,de Dortmund,22-254,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
819,Jurrien Timber\Jurrien-Timber,nl NED,DF,nl Ajax,19-298,2001,1,,0,0.0,0.0,0,,0,1,0,3,0.00,0,0,0,,,0.0,0.0,0.0,,,Matches
820,Nikolai Titkov\Nikolai-Titkov,ru RUS,MF,ru Loko Moscow,20-236,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
821,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,de Bayern Munich,26-251,1994,3,253,84,31.2,2.8,3,84,2,0,,0,3.00,8,3,+5,+1.78,0.00,6.4,3.7,+2.6,+0.93,+0.31,Matches
822,Rafael Tolói\Rafael-Toloi,it ITA,DF,it Atalanta,30-183,1990,8,623,78,86.5,6.9,7,86,6,1,23,0,1.38,10,10,0,0.00,+0.93,9.4,10.2,-0.8,-0.11,-0.88,Matches
823,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,eng Chelsea,23-113,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
824,Mehmet Topal\Mehmet-Topal,tr TUR,MFDF,tr Başakşehir,35-039,1986,4,227,57,42.0,2.5,3,74,1,1,4,1,0.75,1,8,-7,-2.78,-1.63,2.2,5.8,-3.6,-1.42,+0.16,Matches
825,Lucas Torreira\Lucas-Torreira,uy URU,MF,es Atlético Madrid,25-059,1996,5,44,9,6.1,0.5,0,,0,5,9,2,1.40,1,0,+1,+2.05,+2.71,0.4,0.0,+0.4,+0.72,+0.88,Matches
826,Ferrán Torres\Ferran-Torres,es ESP,FW,eng Manchester City,21-041,2000,6,360,60,44.4,4.0,4,82,2,2,17,3,2.67,9,0,+9,+2.25,+0.65,8.0,1.3,+6.7,+1.68,+0.48,Matches
827,Óliver Torres\Oliver-Torres,es ESP,MFFW,es Sevilla,26-152,1994,7,279,40,38.8,3.1,2,79,0,5,24,1,1.57,7,1,+6,+1.94,+3.16,4.7,3.3,+1.4,+0.47,+0.82,Matches
828,James Trafford\James-Trafford,eng ENG,GK,eng Manchester City,18-183,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
829,Hamari Traoré\Hamari-Traore,ml MLI,DF,fr Rennes,29-074,1992,6,540,90,100.0,6.0,6,90,6,0,,0,0.17,3,11,-8,-1.33,,7.4,10.7,-3.4,-0.56,,Matches
830,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FW,de M'Gladbach,32-355,1988,3,27,9,3.8,0.3,0,,0,3,9,5,2.00,0,0,0,0.00,-0.39,0.3,0.5,-0.2,-0.65,-0.41,Matches
