Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Matúš Kozáčik,sk SVK,GK,1983,25.0,cz Viktoria Plzeň,34,2.0,2.0,180.0,2.0,7.0,3.5,19.0,13.0,68.4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Georgii Kyrnats,ru RUS,GK,1998,26.0,ru CSKA Moscow,20,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Matches
Karlo Letica,hr CRO,GK,1997,27.0,be Club Brugge,21,3.0,3.0,270.0,3.0,5.0,1.67,13.0,8.0,61.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Hugo Lloris,fr FRA,GK,1986,28.0,eng Tottenham,31,11.0,11.0,978.0,10.9,15.0,1.38,43.0,29.0,67.4,5.0,2.0,4.0,4.0,36.4,2.0,1.0,1.0,0.0,50.0,Matches
Anthony Lopes,pt POR,GK,1990,29.0,fr Lyon,27,8.0,8.0,664.0,7.4,13.0,1.76,48.0,36.0,75.0,1.0,6.0,1.0,1.0,12.5,1.0,1.0,0.0,0.0,0.0,Matches
Guilherme Marinato,ru RUS,GK,1985,30.0,ru Loko Moscow,32,6.0,6.0,540.0,6.0,12.0,2.0,32.0,22.0,68.8,1.0,0.0,5.0,1.0,16.7,2.0,2.0,0.0,0.0,0.0,Matches
Antonio Mirante,it ITA,GK,1983,31.0,it Roma,35,2.0,2.0,180.0,2.0,3.0,1.5,7.0,4.0,57.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Fernando Muslera,uy URU,GK,1986,32.0,tr Galatasaray,32,6.0,6.0,540.0,6.0,8.0,1.33,23.0,17.0,69.6,1.0,1.0,4.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,Matches
Keylor Navas,cr CRC,GK,1986,33.0,es Real Madrid,31,3.0,3.0,270.0,3.0,2.0,0.67,9.0,7.0,77.8,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,,Matches
Neto,br BRA,GK,1989,34.0,es Valencia,29,5.0,5.0,450.0,5.0,5.0,1.0,21.0,19.0,90.5,1.0,2.0,2.0,1.0,20.0,3.0,3.0,0.0,0.0,0.0,Matches
Manuel Neuer,de GER,GK,1986,35.0,de Bayern Munich,32,8.0,8.0,720.0,8.0,8.0,1.0,29.0,22.0,75.9,4.0,3.0,1.0,4.0,50.0,1.0,1.0,0.0,0.0,0.0,Matches
Alexander Nübel,de GER,GK,1996,36.0,de Schalke 04,21,2.0,2.0,180.0,2.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,Matches
Jan Oblak,si SVN,GK,1993,37.0,es Atlético Madrid,25,8.0,8.0,720.0,8.0,9.0,1.13,19.0,11.0,57.9,5.0,1.0,2.0,4.0,50.0,2.0,1.0,0.0,1.0,0.0,Matches
