Player,Nation,Pos,Squad,Comp,Born,goals_allowed,goals_allowed_per_90,SoTA,Saves,save_percentage,wins,draws,losses,clean_sheet,clean_sheet_percentage,penalties_attempted,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage,season
Eldin Jakupović,ch SUI,GK,Hull City,eng Premier League,1984,36,1.64,107,71,70.1,8.0,4.0,10.0,5,22.7,7.0,4.0,2.0,1.0,33.3,2017
Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,1984,47,1.38,150,103,71.3,15.0,4.0,15.0,11,32.4,5.0,4.0,1.0,0.0,20.0,2017
Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,1990,51,1.4,153,102,70.6,13.0,8.0,15.0,8,21.6,10.0,6.0,2.0,2.0,25.0,2017
Geoffrey Jourdren,fr FRA,GK,Montpellier,fr Ligue 1,1986,28,2.15,64,36,60.9,3.0,4.0,6.0,1,7.7,3.0,3.0,0.0,0.0,0.0,2017
Carlos Kameni,cm CMR,GK,Málaga,es La Liga,1984,48,1.37,152,104,72.4,12.0,8.0,15.0,8,22.9,7.0,6.0,1.0,0.0,14.3,2017
Loris Karius,de GER,GK,Liverpool,eng Premier League,1993,12,1.2,32,20,65.6,6.0,3.0,1.0,3,30.0,1.0,1.0,0.0,0.0,0.0,2017
Orestis Karnezis,gr GRE,GK,Udinese,it Serie A,1985,45,1.37,129,84,70.5,11.0,7.0,15.0,7,21.2,8.0,7.0,0.0,1.0,0.0,2017
Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,1983,6,1.2,23,17,73.9,2.0,1.0,2.0,1,20.0,1.0,0.0,1.0,0.0,100.0,2017
Thomas Kessler,de GER,GK,Köln,de Bundesliga,1986,18,1.38,64,46,73.4,3.0,6.0,4.0,3,23.1,1.0,1.0,0.0,0.0,0.0,2017
Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,1999,41,1.14,158,117,79.1,10.0,12.0,14.0,10,27.8,9.0,8.0,1.0,0.0,11.1,2017
Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,1989,37,1.77,95,58,62.1,5.0,4.0,12.0,2,10.0,3.0,1.0,1.0,1.0,50.0,2017
Jean-Louis Leca,fr FRA,GK,Bastia,fr Ligue 1,1985,43,1.28,144,101,72.9,8.0,9.0,16.0,8,23.5,8.0,4.0,3.0,1.0,42.9,2017
Benjamin Lecomte,fr FRA,GK,Lorient,fr Ligue 1,1991,52,1.68,162,110,69.1,8.0,4.0,19.0,4,12.9,4.0,2.0,1.0,1.0,33.3,2017
Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,1992,55,1.62,160,105,67.5,11.0,8.0,15.0,6,17.6,3.0,3.0,0.0,0.0,0.0,2017
Benjamin Leroy,fr FRA,GK,Dijon,fr Ligue 1,1989,0,0.0,2,2,100.0,0.0,1.0,0.0,1,100.0,1.0,0.0,0.0,1.0,,2017
Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,1990,9,1.5,26,17,65.4,1.0,1.0,4.0,1,16.7,0.0,0.0,0.0,0.0,,2017
Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,1995,0,0.0,2,2,100.0,1.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,2017
Heinz Lindner,at AUT,GK,Eint Frankfurt,de Bundesliga,1990,3,1.54,9,6,66.7,1.0,0.0,1.0,1,100.0,0.0,0.0,0.0,0.0,,2017
Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,1991,28,2.15,72,44,66.7,3.0,4.0,6.0,3,23.1,4.0,4.0,0.0,0.0,0.0,2017
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,1986,24,0.72,101,77,77.2,24.0,5.0,4.0,15,44.1,1.0,1.0,0.0,0.0,0.0,2017
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,1990,46,1.24,141,95,70.9,19.0,4.0,13.0,12,32.4,6.0,5.0,1.0,0.0,16.7,2017
Diego López,es ESP,GK,Espanyol,es La Liga,1981,38,1.1,153,115,76.5,15.0,9.0,11.0,11,31.4,2.0,2.0,0.0,0.0,0.0,2017
Jonas Lössl,dk DEN,GK,Mainz 05,de Bundesliga,1989,46,1.7,134,88,67.9,8.0,5.0,14.0,5,18.5,4.0,3.0,1.0,0.0,25.0,2017
Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,1987,1,0.5,14,13,92.9,0.0,2.0,0.0,1,50.0,0.0,0.0,0.0,0.0,,2017
Germán Lux,ar ARG,GK,La Coruña,es La Liga,1982,38,1.55,116,78,69.0,5.0,7.0,13.0,6,24.0,2.0,2.0,0.0,0.0,0.0,2017
Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,1995,7,1.11,28,21,75.0,3.0,0.0,3.0,3,50.0,0.0,0.0,0.0,0.0,,2017
Anthony Maisonnial,fr FRA,GK,Saint-Étienne,fr Ligue 1,1998,2,1.07,12,10,83.3,0.0,1.0,1.0,1,100.0,0.0,0.0,0.0,0.0,,2017
Steve Mandanda,fr FRA,GK,Crystal Palace,eng Premier League,1985,17,1.89,43,26,60.5,3.0,2.0,4.0,0,0.0,0.0,0.0,0.0,0.0,,2017
